Date,Id,Players,Time,Seconds,Link
2021-03-15,yd9p08xz,MikeWave,42m 44s,2564,https://www.speedrun.com/re3r/runs/yd9p08xz
2021-03-26,zno630ly,Minnotar,42m 36s,2556,https://www.speedrun.com/re3r/runs/zno630ly
2021-04-21,zp10v0gz,Minnotar,42m 29s,2549,https://www.speedrun.com/re3r/runs/zp10v0gz
2021-11-23,zn0ndn9y,MikeWave,42m 27s,2547,https://www.speedrun.com/re3r/runs/zn0ndn9y
2021-12-11,ywj1lppz,Minnotar,42m 22s,2542,https://www.speedrun.com/re3r/runs/ywj1lppz
2021-12-13,zp2089ry,Minnotar,42m 18s,2538,https://www.speedrun.com/re3r/runs/zp2089ry
2021-12-18,zp243d8y,MikeWave,42m 17s,2537,https://www.speedrun.com/re3r/runs/zp243d8y
2022-06-10,yjp8923y,Minnotar,42m 10s,2530,https://www.speedrun.com/re3r/runs/yjp8923y
2022-11-10,y8x4d6wm,Minnotar,42m 09s,2529,https://www.speedrun.com/re3r/runs/y8x4d6wm
2022-12-06,y4g5ojky,n3baktin_,42m 00s,2520,https://www.speedrun.com/re3r/runs/y4g5ojky
2024-06-24,zq8xox1z,Katastrophic,41m 59s,2519,https://www.speedrun.com/re3r/runs/zq8xox1z
