Date,Id,Players,Time,Seconds,Link
2016-08-10,emkp9v1y,wusscake,42m 17s,2537,https://www.speedrun.com/re3/runs/emkp9v1y
2016-09-22,pm3jxkqz,wusscake,42m 15s,2535,https://www.speedrun.com/re3/runs/pm3jxkqz
2016-09-24,8yvx8k6z,wusscake,42m 07s,2527,https://www.speedrun.com/re3/runs/8yvx8k6z
2016-10-01,emk1w81y,wusscake,42m 03s,2523,https://www.speedrun.com/re3/runs/emk1w81y
2017-01-03,wzp5vkny,wusscake,42m 02s,2522,https://www.speedrun.com/re3/runs/wzp5vkny
2017-02-27,pm3pl16z,wusscake,41m 53s,2513,https://www.speedrun.com/re3/runs/pm3pl16z
2017-04-19,y673kvqm,wusscake,41m 42s,2502,https://www.speedrun.com/re3/runs/y673kvqm
2017-05-17,ydq3rxqm,wusscake,41m 30s,2490,https://www.speedrun.com/re3/runs/ydq3rxqm
2017-12-21,yo4n09dm,Orchlon,41m 25s,2485,https://www.speedrun.com/re3/runs/yo4n09dm
2018-04-27,z0egnqem,Orchlon,41m 19s,2479,https://www.speedrun.com/re3/runs/z0egnqem
2018-09-14,y6pdgw6m,Orchlon,41m 16s,2476,https://www.speedrun.com/re3/runs/y6pdgw6m
2018-10-28,ywp3nwnz,Orchlon,41m 07s,2467,https://www.speedrun.com/re3/runs/ywp3nwnz
2019-07-29,zgkv6v0y,TheNevs,41m 06s,2466,https://www.speedrun.com/re3/runs/zgkv6v0y
2019-08-14,y81e2dxz,Orchlon,41m 03s,2463,https://www.speedrun.com/re3/runs/y81e2dxz
2019-10-19,z01lodjy,Orchlon,40m 55s,2455,https://www.speedrun.com/re3/runs/z01lodjy
2021-08-27,mk5g31lm,MattGael,40m 52s,2452,https://www.speedrun.com/re3/runs/mk5g31lm
2021-09-13,z07pqk9y,MattGael,40m 49s,2449,https://www.speedrun.com/re3/runs/z07pqk9y
2022-04-09,yl799jxm,MattGael,40m 48s,2448,https://www.speedrun.com/re3/runs/yl799jxm
2022-09-08,z0lpg7oz,MattGael,40m 45s,2445,https://www.speedrun.com/re3/runs/z0lpg7oz
2023-03-14,y96pdo2y,MattGael,40m 42s,2442,https://www.speedrun.com/re3/runs/y96pdo2y
2023-08-11,mrl5o37m,MattGael,40m 35s,2435,https://www.speedrun.com/re3/runs/mrl5o37m
