Date,Id,Players,Time,Seconds,Link
2019-03-27,zp0vx8vm,Danflesh,57m 04s,3424,https://www.speedrun.com/sekiro/runs/zp0vx8vm
2019-03-27,zp0vx6rm,Danflesh,50m 52s,3052,https://www.speedrun.com/sekiro/runs/zp0vx6rm
2019-03-29,m3o84lgm,Danflesh,45m 50s,2750,https://www.speedrun.com/sekiro/runs/m3o84lgm
2019-03-29,y43vdvqz,Danflesh,41m 16s,2476,https://www.speedrun.com/sekiro/runs/y43vdvqz
2019-03-31,ywp71k0z,LostFeather,39m 13s,2353,https://www.speedrun.com/sekiro/runs/ywp71k0z
2019-04-04,yl4wv92m,Jabo,38m 20s,2300,https://www.speedrun.com/sekiro/runs/yl4wv92m
2019-04-05,yd3xr3qz,Distortion2,33m 17s,1997,https://www.speedrun.com/sekiro/runs/yd3xr3qz
2019-04-08,z034l49z,omega339,32m 23s,1943,https://www.speedrun.com/sekiro/runs/z034l49z
2019-04-09,zq3ojp5y,Hojae,31m 50s,1910,https://www.speedrun.com/sekiro/runs/zq3ojp5y
2019-04-10,yd3x2vwz,Qttsix,31m 06s,1866,https://www.speedrun.com/sekiro/runs/yd3x2vwz
2019-04-11,z034qljz,Qttsix,29m 51s,1791,https://www.speedrun.com/sekiro/runs/z034qljz
2019-04-11,yd3xlpwz,Distortion2,29m 24s,1764,https://www.speedrun.com/sekiro/runs/yd3xlpwz
2019-04-17,z03gel9z,Qttsix,26m 43s,1603,https://www.speedrun.com/sekiro/runs/z03gel9z
2019-04-21,yl48rdrm,Distortion2,24m 55s,1495,https://www.speedrun.com/sekiro/runs/yl48rdrm
2019-04-25,zn4nvl3m,Qttsix,23m 43s,1423,https://www.speedrun.com/sekiro/runs/zn4nvl3m
2019-04-29,mk9j2l5z,Distortion2,22m 50s,1370,https://www.speedrun.com/sekiro/runs/mk9j2l5z
2019-05-02,m3oe1dqm,Mazirika,22m 41s,1361,https://www.speedrun.com/sekiro/runs/m3oe1dqm
2019-05-25,y813pk5z,Distortion2,22m 22s,1342,https://www.speedrun.com/sekiro/runs/y813pk5z
2019-06-15,mex87l0z,LilAggy,22m 08s,1328,https://www.speedrun.com/sekiro/runs/mex87l0z
2019-07-02,y811ok5z,LilAggy,21m 57s,1317,https://www.speedrun.com/sekiro/runs/y811ok5z
2019-09-21,z1j2667z,LilAggy,21m 50s,1310,https://www.speedrun.com/sekiro/runs/z1j2667z
2020-02-11,mrewnv2y,LilAggy,21m 41s,1301,https://www.speedrun.com/sekiro/runs/mrewnv2y
2020-02-16,z012ge4y,LilAggy,21m 37s,1297,https://www.speedrun.com/sekiro/runs/z012ge4y
2020-02-28,znrldnly,LilAggy,21m 32s,1292,https://www.speedrun.com/sekiro/runs/znrldnly
2020-02-28,y81455nz,LilAggy,21m 31s,1291,https://www.speedrun.com/sekiro/runs/y81455nz
2020-03-03,z01g5wjy,LilAggy,21m 19s,1279,https://www.speedrun.com/sekiro/runs/z01g5wjy
2020-06-01,z152krgy,Mitchriz,21m 09s,1269,https://www.speedrun.com/sekiro/runs/z152krgy
2020-06-06,zx27l3km,LilAggy,21m 02s,1262,https://www.speedrun.com/sekiro/runs/zx27l3km
2020-06-08,y4wq6gdm,LilAggy,20m 39s,1239,https://www.speedrun.com/sekiro/runs/y4wq6gdm
2020-07-17,znkx0d3z,Mitchriz,20m 31s,1231,https://www.speedrun.com/sekiro/runs/znkx0d3z
2020-09-07,ywde6x0z,pasiflora,20m 21s,1221,https://www.speedrun.com/sekiro/runs/ywde6x0z
2020-12-17,mk8ooqlm,LilAggy,20m 20s,1220,https://www.speedrun.com/sekiro/runs/mk8ooqlm
2021-03-03,yv2v9k4m,LilAggy,20m 17s,1217,https://www.speedrun.com/sekiro/runs/yv2v9k4m
2021-03-06,yw0nllnm,Mitchriz,20m 11s,1211,https://www.speedrun.com/sekiro/runs/yw0nllnm
2021-03-08,y9njg8kz,LilAggy,20m 03s,1203,https://www.speedrun.com/sekiro/runs/y9njg8kz
2021-03-23,zp355r8m,LilAggy,19m 59s,1199,https://www.speedrun.com/sekiro/runs/zp355r8m
2021-05-28,yo7p120m,pasiflora,19m 55s,1195,https://www.speedrun.com/sekiro/runs/yo7p120m
2021-10-30,z070xkjy,sutemou,19m 53s,1193,https://www.speedrun.com/sekiro/runs/z070xkjy
2022-01-28,ylenwr2z,LilAggy,19m 52s,1192,https://www.speedrun.com/sekiro/runs/ylenwr2z
2022-01-30,yorlg61y,LilAggy,19m 50s,1190,https://www.speedrun.com/sekiro/runs/yorlg61y
2022-03-03,y6nje51z,Sev1nG,19m 45s,1185,https://www.speedrun.com/sekiro/runs/y6nje51z
2022-07-11,z0pk8x9y,Mitchriz,19m 35s,1175,https://www.speedrun.com/sekiro/runs/z0pk8x9y
2022-07-16,zx7pnqgy,sutemou,19m 33s,1173,https://www.speedrun.com/sekiro/runs/zx7pnqgy
2022-07-27,yjdjpkdy,Mitchriz,19m 28s,1168,https://www.speedrun.com/sekiro/runs/yjdjpkdy
2022-08-13,mrrk6o2m,pasiflora,19m 24s,1164,https://www.speedrun.com/sekiro/runs/mrrk6o2m
2022-10-30,mkdronly,sutemou,19m 22s,1162,https://www.speedrun.com/sekiro/runs/mkdronly
2022-11-23,zx8ej5gm,Mitchriz,19m 20s,1160,https://www.speedrun.com/sekiro/runs/zx8ej5gm
2022-11-25,y80qwq1m,Mitchriz,19m 16s,1156,https://www.speedrun.com/sekiro/runs/y80qwq1m
2022-12-13,m3lo376m,sutemou,19m 11s,1151,https://www.speedrun.com/sekiro/runs/m3lo376m
2023-01-17,yol7wr0y,pasiflora,19m 02s,1142,https://www.speedrun.com/sekiro/runs/yol7wr0y
2023-04-15,yj80v3nm,pasiflora,18m 54s,1134,https://www.speedrun.com/sekiro/runs/yj80v3nm
2024-03-08,y46wendz,Sev1nG,18m 53s,1133,https://www.speedrun.com/sekiro/runs/y46wendz
2024-03-23,m30nw06m,pasiflora,18m 50s,1130,https://www.speedrun.com/sekiro/runs/m30nw06m
