Date,Id,Players,Time,Seconds,Link
2014-05-09,qdy4dnyl,fastfruitman,1h 54m 55s,6895,https://www.speedrun.com/shar/runs/qdy4dnyl
2014-05-27,8y8q35y1,fastfruitman,1h 50m 32s,6632,https://www.speedrun.com/shar/runs/8y8q35y1
2014-06-14,7yl94ryp,pet_petiguana,1h 50m 08s,6608,https://www.speedrun.com/shar/runs/7yl94ryp
2014-07-02,9mrq24yq,fastfruitman,1h 48m 16s,6496,https://www.speedrun.com/shar/runs/9mrq24yq
2014-11-17,9me039z7,pet_petiguana,1h 47m 30s,6450,https://www.speedrun.com/shar/runs/9me039z7
2015-01-10,oy232w9m,pet_petiguana,1h 45m 33s,6333,https://www.speedrun.com/shar/runs/oy232w9m
2015-02-20,kz51p5dm,pet_petiguana,1h 44m 37s,6277,https://www.speedrun.com/shar/runs/kz51p5dm
2015-03-30,7yl0eqry,fastfruitman,1h 43m 57s,6237,https://www.speedrun.com/shar/runs/7yl0eqry
2015-04-08,emk2v63m,fastfruitman,1h 42m 45s,6165,https://www.speedrun.com/shar/runs/emk2v63m
2015-04-11,7z01xxey,fastfruitman,1h 42m 03s,6123,https://www.speedrun.com/shar/runs/7z01xxey
2015-05-18,1zqw14xz,pet_petiguana,1h 40m 49s,6049,https://www.speedrun.com/shar/runs/1zqw14xz
2015-11-02,7z0rkqez,fastfruitman,1h 40m 05s,6005,https://www.speedrun.com/shar/runs/7z0rkqez
2015-11-09,pzgg5gnz,pet_petiguana,1h 38m 35s,5915,https://www.speedrun.com/shar/runs/pzgg5gnz
2016-03-23,0znq1q9z,pet_petiguana,1h 38m 03s,5883,https://www.speedrun.com/shar/runs/0znq1q9z
2016-06-25,2ywrwj3m,RobotCrocodilz,1h 34m 48s,5688,https://www.speedrun.com/shar/runs/2ywrwj3m
2017-02-12,9yogxk5m,RobotCrocodilz,1h 33m 29s,5609,https://www.speedrun.com/shar/runs/9yogxk5m
2017-02-18,oy24od9z,RobotCrocodilz,1h 32m 56s,5576,https://www.speedrun.com/shar/runs/oy24od9z
2018-05-28,mr8j6vgy,Cythertime,1h 32m 50s,5570,https://www.speedrun.com/shar/runs/mr8j6vgy
2018-08-13,y2qd2dwy,Cythertime,1h 32m 16s,5536,https://www.speedrun.com/shar/runs/y2qd2dwy
2018-09-09,mr81r82y,Cythertime,1h 31m 32s,5492,https://www.speedrun.com/shar/runs/mr81r82y
2018-10-14,y89jnldm,Cythertime,1h 31m 29s,5489,https://www.speedrun.com/shar/runs/y89jnldm
2018-12-08,y6p2pdqm,Orchlon,1h 30m 49s,5449,https://www.speedrun.com/shar/runs/y6p2pdqm
2019-03-11,yvj5vpey,KSFQ,1h 30m 21s,5421,https://www.speedrun.com/shar/runs/yvj5vpey
2019-04-23,zx4175ey,KSFQ,1h 29m 40s,5380,https://www.speedrun.com/shar/runs/zx4175ey
2019-06-19,znr4vg7y,KSFQ,1h 29m 19s,5359,https://www.speedrun.com/shar/runs/znr4vg7y
2019-06-21,yj347kdz,KSFQ,1h 28m 06s,5286,https://www.speedrun.com/shar/runs/yj347kdz
2019-07-10,y812r6xz,KSFQ,1h 27m 51s,5271,https://www.speedrun.com/shar/runs/y812r6xz
2019-07-21,mre9e8dy,Baconman12,1h 27m 25s,5245,https://www.speedrun.com/shar/runs/mre9e8dy
2019-08-09,znroe5vy,KSFQ,1h 27m 24s,5244,https://www.speedrun.com/shar/runs/znroe5vy
2019-08-25,z57rq0dm,Baconman12,1h 26m 34s,5194,https://www.speedrun.com/shar/runs/z57rq0dm
2019-09-11,z1j21d7z,Baconman12,1h 26m 30s,5190,https://www.speedrun.com/shar/runs/z1j21d7z
2019-09-26,yw4jll3z,Baconman12,1h 26m 08s,5168,https://www.speedrun.com/shar/runs/yw4jll3z
2019-10-19,zxk8l7km,KSFQ,1h 25m 34s,5134,https://www.speedrun.com/shar/runs/zxk8l7km
2019-10-21,yv30pkez,Baconman12,1h 25m 19s,5119,https://www.speedrun.com/shar/runs/yv30pkez
2020-01-21,yoje9j1m,Baconman12,1h 24m 32s,5072,https://www.speedrun.com/shar/runs/yoje9j1m
2020-04-03,ylk9rwxz,Baconman12,1h 24m 03s,5043,https://www.speedrun.com/shar/runs/ylk9rwxz
2020-04-17,yw840k0y,Baconman12,1h 23m 34s,5014,https://www.speedrun.com/shar/runs/yw840k0y
2020-08-04,ylkjg2xz,Baconman12,1h 23m 04s,4984,https://www.speedrun.com/shar/runs/ylkjg2xz
2020-10-01,m75qn30z,Baconman12,1h 22m 21s,4941,https://www.speedrun.com/shar/runs/m75qn30z
2020-10-12,zxdd4gey,Baconman12,1h 22m 00s,4920,https://www.speedrun.com/shar/runs/zxdd4gey
2021-01-01,z53nqvny,Baconman12,1h 21m 28s,4888,https://www.speedrun.com/shar/runs/z53nqvny
2021-03-06,y9nkg1nz,Baconman12,1h 21m 20s,4880,https://www.speedrun.com/shar/runs/y9nkg1nz
2021-03-28,y42v0dkm,Baconman12,1h 21m 18s,4878,https://www.speedrun.com/shar/runs/y42v0dkm
2021-04-18,y4r32rnz,Baconman12,1h 21m 09s,4869,https://www.speedrun.com/shar/runs/y4r32rnz
2021-04-20,zn09q33y,LiquidWiFi,1h 19m 53s,4793,https://www.speedrun.com/shar/runs/zn09q33y
2022-08-02,y9x73qky,LiquidWiFi,1h 19m 45s,4785,https://www.speedrun.com/shar/runs/y9x73qky
2022-09-16,m3xlgjgm,LiquidWiFi,1h 19m 35s,4775,https://www.speedrun.com/shar/runs/m3xlgjgm
2022-12-05,ydgqenwy,LiquidWiFi,1h 19m 32s,4772,https://www.speedrun.com/shar/runs/ydgqenwy
2023-01-09,ydg9j3xy,LiquidWiFi,1h 19m 19s,4759,https://www.speedrun.com/shar/runs/ydg9j3xy
2023-01-30,m3l3gr4m,LiquidWiFi,1h 18m 51s,4731,https://www.speedrun.com/shar/runs/m3l3gr4m
2023-08-29,y2go8ojz,HomerOfSteel,1h 18m 48s,4728,https://www.speedrun.com/shar/runs/y2go8ojz
2024-01-22,y2k6kj5y,LiquidWiFi,1h 18m 41s,4721,https://www.speedrun.com/shar/runs/y2k6kj5y
2024-01-28,m7342n9y,HomerOfSteel,1h 18m 11s,4691,https://www.speedrun.com/shar/runs/m7342n9y
2024-02-03,y2kojg7y,HomerOfSteel,1h 17m 41s,4661,https://www.speedrun.com/shar/runs/y2kojg7y
2024-06-21,mew50o9m,HomerOfSteel,1h 16m 48s,4608,https://www.speedrun.com/shar/runs/mew50o9m
