Date,Id,Players,Time,Seconds,Link
2013-11-11,8m737wy0,ZtarZtorm,7h 51m 51s,28311,https://www.speedrun.com/sly2/runs/8m737wy0
2014-10-10,0zne1lzn,Gamecuber,6h 12m 15s,22335,https://www.speedrun.com/sly2/runs/0zne1lzn
2015-05-03,0znkwovz,Gamecuber,6h 01m 03s,21663,https://www.speedrun.com/sly2/runs/0znkwovz
2015-05-10,7z051xjm,Gamecuber,5h 53m 01s,21181,https://www.speedrun.com/sly2/runs/7z051xjm
2015-07-13,pm3g3ldz,Gnist,5h 48m 05s,20885,https://www.speedrun.com/sly2/runs/pm3g3ldz
2015-10-17,wzp1gnrz,mikl,5h 45m 22s,20722,https://www.speedrun.com/sly2/runs/wzp1gnrz
2015-10-29,nz1rvq9m,Gnist,5h 44m 37s,20677,https://www.speedrun.com/sly2/runs/nz1rvq9m
2015-11-07,1zxgrkgy,Gnist,5h 43m 29s,20609,https://www.speedrun.com/sly2/runs/1zxgrkgy
2015-11-27,7z07669y,Gnist,5h 40m 35s,20435,https://www.speedrun.com/sly2/runs/7z07669y
2015-12-06,dy478dny,Gnist,5h 40m 13s,20413,https://www.speedrun.com/sly2/runs/dy478dny
2015-12-07,nz1xplwm,Gnist,5h 38m 07s,20287,https://www.speedrun.com/sly2/runs/nz1xplwm
2016-03-30,1zx88xgm,Gnist,5h 37m 40s,20260,https://www.speedrun.com/sly2/runs/1zx88xgm
2016-06-06,9yon331z,Gnist,5h 36m 48s,20208,https://www.speedrun.com/sly2/runs/9yon331z
2016-08-03,2ywn719y,Gnist,5h 34m 16s,20056,https://www.speedrun.com/sly2/runs/2ywn719y
2016-08-04,2ywn772y,Gnist,5h 31m 18s,19878,https://www.speedrun.com/sly2/runs/2ywn772y
2017-01-19,7z02pvom,Gnist,5h 29m 29s,19769,https://www.speedrun.com/sly2/runs/7z02pvom
2017-02-17,8m744n5m,Gnist,5h 26m 39s,19599,https://www.speedrun.com/sly2/runs/8m744n5m
2017-06-06,y4512dkm,Gnist,5h 26m 26s,19586,https://www.speedrun.com/sly2/runs/y4512dkm
2017-06-12,mk42qp1y,Gnist,5h 25m 28s,19528,https://www.speedrun.com/sly2/runs/mk42qp1y
2017-12-06,m3dl20dz,Gnist,5h 24m 49s,19489,https://www.speedrun.com/sly2/runs/m3dl20dz
2017-12-11,mk40933y,Gnist,5h 24m 11s,19451,https://www.speedrun.com/sly2/runs/mk40933y
2017-12-20,z13ln7jm,Gnist,5h 16m 40s,19000,https://www.speedrun.com/sly2/runs/z13ln7jm
2018-01-03,yjkwdd7m,Remo,5h 15m 59s,18959,https://www.speedrun.com/sly2/runs/yjkwdd7m
2018-01-04,y45kg72m,Gnist,5h 14m 57s,18897,https://www.speedrun.com/sly2/runs/y45kg72m
2018-01-05,ydq2n8wm,Remo,5h 14m 22s,18862,https://www.speedrun.com/sly2/runs/ydq2n8wm
2018-01-15,z139rjwm,Gnist,5h 14m 16s,18856,https://www.speedrun.com/sly2/runs/z139rjwm
2018-01-23,mekwqo9m,Gnist,5h 12m 24s,18744,https://www.speedrun.com/sly2/runs/mekwqo9m
2018-01-31,zxvxwdey,Gnist,5h 10m 26s,18626,https://www.speedrun.com/sly2/runs/zxvxwdey
2018-06-15,yo24l41z,Gnist,5h 09m 56s,18596,https://www.speedrun.com/sly2/runs/yo24l41z
2018-06-21,mk99l6vz,Gnist,5h 07m 10s,18430,https://www.speedrun.com/sly2/runs/mk99l6vz
2018-07-08,y4315x2z,Remo,5h 05m 47s,18347,https://www.speedrun.com/sly2/runs/y4315x2z
2018-12-07,zg7e7jdz,Remo,5h 04m 28s,18268,https://www.speedrun.com/sly2/runs/zg7e7jdz
2019-04-17,mr8g834y,Gnist,5h 02m 33s,18153,https://www.speedrun.com/sly2/runs/mr8g834y
2019-06-16,zqr3005y,Remo,4h 58m 34s,17914,https://www.speedrun.com/sly2/runs/zqr3005y
2019-07-08,y215946z,Remo,4h 57m 50s,17870,https://www.speedrun.com/sly2/runs/y215946z
2019-09-04,yv3ox86z,hekksu,4h 56m 25s,17785,https://www.speedrun.com/sly2/runs/yv3ox86z
2021-01-17,me9kw29z,Bvr,4h 56m 12s,17772,https://www.speedrun.com/sly2/runs/me9kw29z
2021-03-20,zgx6jqem,hekksu,4h 48m 31s,17311,https://www.speedrun.com/sly2/runs/zgx6jqem
2022-06-12,yvrp944z,Bvr,4h 47m 54s,17274,https://www.speedrun.com/sly2/runs/yvrp944z
2022-08-23,zpd114rz,Bvr,4h 47m 13s,17233,https://www.speedrun.com/sly2/runs/zpd114rz
2022-10-22,znqggklz,Bvr,4h 45m 54s,17154,https://www.speedrun.com/sly2/runs/znqggklz
