Date,Id,Players,Time,Seconds,Link
2012-09-29,1zxw68mx,Arrrde,1h 12m 29s,4349,https://www.speedrun.com/sly1/runs/1zxw68mx
2014-07-11,zq62kexy,icantpronouncethis,1h 10m 19s,4219,https://www.speedrun.com/sly1/runs/zq62kexy
2014-08-25,jy9knnz4,NicoHDjr,1h 09m 32s,4172,https://www.speedrun.com/sly1/runs/jy9knnz4
2014-09-16,emkq83m6,HuntedCast,1h 01m 24s,3684,https://www.speedrun.com/sly1/runs/emkq83m6
2015-08-14,emk73gly,mikl,1h 01m 13s,3673,https://www.speedrun.com/sly1/runs/emk73gly
2015-11-21,1zxoklgz,mikl,1h 00m 34s,3634,https://www.speedrun.com/sly1/runs/1zxoklgz
2015-11-29,9mrn18dy,mikl,59m 54s,3594,https://www.speedrun.com/sly1/runs/9mrn18dy
2016-02-03,oy20le6m,mikl,58m 42s,3522,https://www.speedrun.com/sly1/runs/oy20le6m
2016-03-28,9me13r9y,mikl,58m 29s,3509,https://www.speedrun.com/sly1/runs/9me13r9y
2016-08-26,7ylddrxm,mikl,58m 00s,3480,https://www.speedrun.com/sly1/runs/7ylddrxm
2017-03-16,0y6k9g6z,mikl,57m 07s,3427,https://www.speedrun.com/sly1/runs/0y6k9g6z
2017-04-09,y239e29m,Sharo,56m 02s,3362,https://www.speedrun.com/sly1/runs/y239e29m
2017-09-07,zgnrve0y,Zenthrow,56m 00s,3360,https://www.speedrun.com/sly1/runs/zgnrve0y
2018-02-14,y23n2q9m,Zenthrow,55m 42s,3342,https://www.speedrun.com/sly1/runs/y23n2q9m
2018-04-10,yvgk838y,Awrie,55m 19s,3319,https://www.speedrun.com/sly1/runs/yvgk838y
2018-04-11,mek5le8m,smartalec24,54m 55s,3295,https://www.speedrun.com/sly1/runs/mek5le8m
2018-04-11,zgn0elvy,Zenthrow,50m 15s,3015,https://www.speedrun.com/sly1/runs/zgn0elvy
2018-04-16,z0e4244m,Zenthrow,48m 53s,2933,https://www.speedrun.com/sly1/runs/z0e4244m
2018-04-25,yjk0rd7m,Zenthrow,48m 32s,2912,https://www.speedrun.com/sly1/runs/yjk0rd7m
2018-05-16,yw1lg50z,Zenthrow,48m 23s,2903,https://www.speedrun.com/sly1/runs/yw1lg50z
2018-05-22,y43999nz,Zenthrow,48m 08s,2888,https://www.speedrun.com/sly1/runs/y43999nz
