Date,Id,Players,Time,Seconds,Link
2013-02-03,m7pd835m,PinkyFish Gaming (Foaya),2h 43m 23s,9803,https://www.speedrun.com/ssbb/runs/m7pd835m
2014-07-29,z159ko9y,Anonymous,2h 34m 12s,9252,https://www.speedrun.com/ssbb/runs/z159ko9y
2014-08-03,mrkv29dy,Anonymous,2h 28m 27s,8907,https://www.speedrun.com/ssbb/runs/mrkv29dy
2016-03-09,0znpdx3m,RubberDuckyAssassin,2h 27m 38s,8858,https://www.speedrun.com/ssbb/runs/0znpdx3m
2016-04-17,dy4xp5qz,RubberDuckyAssassin,2h 27m 31s,8851,https://www.speedrun.com/ssbb/runs/dy4xp5qz
2016-06-02,8m70p00y,RubberDuckyAssassin,2h 23m 33s,8613,https://www.speedrun.com/ssbb/runs/8m70p00y
2016-06-13,0y62nxqz,RubberDuckyAssassin,2h 23m 25s,8605,https://www.speedrun.com/ssbb/runs/0y62nxqz
2016-07-10,pzg875jy,RubberDuckyAssassin,2h 18m 57s,8337,https://www.speedrun.com/ssbb/runs/pzg875jy
2017-01-26,9medpd9y,RubberDuckyAssassin,2h 17m 20s,8240,https://www.speedrun.com/ssbb/runs/9medpd9y
2017-03-11,oy2lqk7m,RubberDuckyAssassin,2h 16m 59s,8219,https://www.speedrun.com/ssbb/runs/oy2lqk7m
2017-05-21,yvgj0wxy,RubberDuckyAssassin,2h 16m 29s,8189,https://www.speedrun.com/ssbb/runs/yvgj0wxy
2017-07-12,zgnvw80y,RubberDuckyAssassin,2h 15m 47s,8147,https://www.speedrun.com/ssbb/runs/zgnvw80y
2017-07-14,yjk6xddm,RubberDuckyAssassin,2h 15m 36s,8136,https://www.speedrun.com/ssbb/runs/yjk6xddm
2017-09-16,z0e7229m,RubberDuckyAssassin,2h 15m 14s,8114,https://www.speedrun.com/ssbb/runs/z0e7229m
2018-02-11,z5olvlgy,RubberDuckyAssassin,2h 13m 52s,8032,https://www.speedrun.com/ssbb/runs/z5olvlgy
2018-02-12,ydqvg8vm,RubberDuckyAssassin,2h 12m 58s,7978,https://www.speedrun.com/ssbb/runs/ydqvg8vm
2018-02-28,mk4ww5xy,RubberDuckyAssassin,2h 11m 31s,7891,https://www.speedrun.com/ssbb/runs/mk4ww5xy
2018-03-03,y8qg45ny,RubberDuckyAssassin,2h 09m 23s,7763,https://www.speedrun.com/ssbb/runs/y8qg45ny
2018-03-11,yw156l3z,RubberDuckyAssassin,2h 09m 17s,7757,https://www.speedrun.com/ssbb/runs/yw156l3z
2018-03-16,zgn99ndy,RubberDuckyAssassin,2h 08m 14s,7694,https://www.speedrun.com/ssbb/runs/zgn99ndy
2018-04-18,y67131jm,RubberDuckyAssassin,2h 06m 07s,7567,https://www.speedrun.com/ssbb/runs/y67131jm
2018-06-11,yj4kg5gy,RubberDuckyAssassin,2h 05m 28s,7528,https://www.speedrun.com/ssbb/runs/yj4kg5gy
2018-06-23,zq33kq9y,RubberDuckyAssassin,2h 04m 53s,7493,https://www.speedrun.com/ssbb/runs/zq33kq9y
2018-07-02,yd33nvjz,RubberDuckyAssassin,2h 03m 42s,7422,https://www.speedrun.com/ssbb/runs/yd33nvjz
2018-07-04,zp0059nm,swc19,2h 03m 00s,7380,https://www.speedrun.com/ssbb/runs/zp0059nm
2018-07-23,zn4krjvm,RubberDuckyAssassin,2h 02m 41s,7361,https://www.speedrun.com/ssbb/runs/zn4krjvm
2018-07-28,zg7wqjjz,RubberDuckyAssassin,2h 01m 53s,7313,https://www.speedrun.com/ssbb/runs/zg7wqjjz
2018-12-05,z11ldojz,RubberDuckyAssassin,2h 01m 13s,7273,https://www.speedrun.com/ssbb/runs/z11ldojz
2019-01-28,mk91qx5z,RubberDuckyAssassin,2h 01m 07s,7267,https://www.speedrun.com/ssbb/runs/mk91qx5z
2019-01-29,z51gg3nm,RubberDuckyAssassin,2h 00m 43s,7243,https://www.speedrun.com/ssbb/runs/z51gg3nm
2019-01-29,zq3qq4xy,RubberDuckyAssassin,2h 00m 40s,7240,https://www.speedrun.com/ssbb/runs/zq3qq4xy
2019-01-30,m7pov8em,RubberDuckyAssassin,2h 00m 04s,7204,https://www.speedrun.com/ssbb/runs/m7pov8em
2019-02-08,yj4epdny,swc19,1h 59m 50s,7190,https://www.speedrun.com/ssbb/runs/yj4epdny
2019-02-09,me8n129m,RubberDuckyAssassin,1h 59m 27s,7167,https://www.speedrun.com/ssbb/runs/me8n129m
2019-09-28,zxk72vem,Tech,1h 58m 48s,7128,https://www.speedrun.com/ssbb/runs/zxk72vem
2020-05-26,mrkn084y,Tech,1h 57m 41s,7061,https://www.speedrun.com/ssbb/runs/mrkn084y
2020-05-29,m7gwpx5m,Tech,1h 57m 04s,7024,https://www.speedrun.com/ssbb/runs/m7gwpx5m
2020-06-08,meo3088z,Tech,1h 55m 36s,6936,https://www.speedrun.com/ssbb/runs/meo3088z
2020-08-22,z054v0jm,Tech,1h 55m 34s,6934,https://www.speedrun.com/ssbb/runs/z054v0jm
2020-08-23,znknr18z,Tech,1h 54m 39s,6879,https://www.speedrun.com/ssbb/runs/znknr18z
2020-11-17,zxd8nxky,Tech,1h 54m 23s,6863,https://www.speedrun.com/ssbb/runs/zxd8nxky
2020-12-22,y2d8kx5z,Tech,1h 52m 31s,6751,https://www.speedrun.com/ssbb/runs/y2d8kx5z
