Date,Id,Players,Time,Seconds,Link
2018-12-09,yo2n3k5z,Demolition14,3h 06m 34s,11194,https://www.speedrun.com/ssbu/runs/yo2n3k5z
2018-12-11,zq3jvg1y,swc19,3h 01m 34s,10894,https://www.speedrun.com/ssbu/runs/zq3jvg1y
2018-12-12,z03joeez,nick666101,2h 56m 44s,10604,https://www.speedrun.com/ssbu/runs/z03joeez
2018-12-12,y2qg086y,swc19,2h 40m 11s,9611,https://www.speedrun.com/ssbu/runs/y2qg086y
2018-12-21,yvjpdr4y,Grega,2h 39m 32s,9572,https://www.speedrun.com/ssbu/runs/yvjpdr4y
2018-12-30,zn4eq1vm,Grega,2h 30m 19s,9019,https://www.speedrun.com/ssbu/runs/zn4eq1vm
2018-12-30,yo2ol01z,swc19,2h 29m 46s,8986,https://www.speedrun.com/ssbu/runs/yo2ol01z
2018-12-31,ywpnrvnz,SW,2h 28m 03s,8883,https://www.speedrun.com/ssbu/runs/ywpnrvnz
2019-01-04,z11k03rz,SW,2h 25m 58s,8758,https://www.speedrun.com/ssbu/runs/z11k03rz
2019-03-22,z51nx1jm,haound,2h 25m 21s,8721,https://www.speedrun.com/ssbu/runs/z51nx1jm
2020-02-12,yd6p54vz,Chimpomagee,2h 21m 30s,8490,https://www.speedrun.com/ssbu/runs/yd6p54vz
2021-02-03,yloonpny,Riparo,2h 21m 25s,8485,https://www.speedrun.com/ssbu/runs/yloonpny
