Date,Id,Players,Time,Seconds,Link
2022-11-08,me0ongqz,Dawn,3h 24m 43s 640ms,12283.64,https://www.speedrun.com/sonicfrontiers/runs/me0ongqz
2022-11-10,zxw2jjgm,grimmyhunter,2h 42m 59s 720ms,9779.72,https://www.speedrun.com/sonicfrontiers/runs/zxw2jjgm
2022-11-11,m3k5ww6y,grimmyhunter,2h 13m 33s,8013,https://www.speedrun.com/sonicfrontiers/runs/m3k5ww6y
2022-11-12,z0x588jz,grimmyhunter,2h 04m 53s 050ms,7493.05,https://www.speedrun.com/sonicfrontiers/runs/z0x588jz
2022-11-13,y8k2oowy,grimmyhunter,1h 51m 10s 570ms,6670.57,https://www.speedrun.com/sonicfrontiers/runs/y8k2oowy
2022-11-14,yllkpp2y,grimmyhunter,1h 41m 25s 460ms,6085.46,https://www.speedrun.com/sonicfrontiers/runs/yllkpp2y
2022-11-15,y9k0pe2z,Emerldd,1h 35m 40s 440ms,5740.44,https://www.speedrun.com/sonicfrontiers/runs/y9k0pe2z
2022-11-16,z0x580jz,grimmyhunter,1h 33m 38s 500ms,5618.5,https://www.speedrun.com/sonicfrontiers/runs/z0x580jz
2022-11-17,y8k2ogny,Onaku,1h 28m 54s 880ms,5334.88,https://www.speedrun.com/sonicfrontiers/runs/y8k2ogny
2022-11-21,mkdjggly,grimmyhunter,1h 28m 05s 480ms,5285.48,https://www.speedrun.com/sonicfrontiers/runs/mkdjggly
2022-11-21,y4xprpdz,Onaku,1h 24m 32s 090ms,5072.09,https://www.speedrun.com/sonicfrontiers/runs/y4xprpdz
2022-11-23,zq9x859y,Onaku,1h 23m 44s 820ms,5024.82,https://www.speedrun.com/sonicfrontiers/runs/zq9x859y
2022-11-25,m7211v4z,OrionYTP,1h 22m 35s 390ms,4955.39,https://www.speedrun.com/sonicfrontiers/runs/m7211v4z
2022-11-26,m3l9g76m,Onaku,1h 22m 06s 670ms,4926.67,https://www.speedrun.com/sonicfrontiers/runs/m3l9g76m
2022-11-27,z0nwr2em,Onaku,1h 19m 12s 350ms,4752.35,https://www.speedrun.com/sonicfrontiers/runs/z0nwr2em
2022-11-28,yv84lxxm,Katie4,1h 17m 51s 450ms,4671.45,https://www.speedrun.com/sonicfrontiers/runs/yv84lxxm
2022-12-01,y6o3k7jy,Onaku,1h 16m 09s 410ms,4569.41,https://www.speedrun.com/sonicfrontiers/runs/y6o3k7jy
2022-12-02,yol43djy,Katie4,1h 14m 27s 790ms,4467.79,https://www.speedrun.com/sonicfrontiers/runs/yol43djy
2022-12-04,zg2nd1dy,OrionYTP,1h 14m 19s 350ms,4459.35,https://www.speedrun.com/sonicfrontiers/runs/zg2nd1dy
2022-12-07,y80qg6xm,Onaku,1h 13m 42s 840ms,4422.84,https://www.speedrun.com/sonicfrontiers/runs/y80qg6xm
2022-12-08,y8012o1m,Katie4,1h 11m 56s 270ms,4316.27,https://www.speedrun.com/sonicfrontiers/runs/y8012o1m
2022-12-10,zg2774jy,Onaku,1h 11m 34s 510ms,4294.51,https://www.speedrun.com/sonicfrontiers/runs/zg2774jy
2022-12-11,y2j1k8wz,Onaku,1h 10m 58s 480ms,4258.48,https://www.speedrun.com/sonicfrontiers/runs/y2j1k8wz
2022-12-15,y8012odm,Katie4,1h 10m 45s 730ms,4245.73,https://www.speedrun.com/sonicfrontiers/runs/y8012odm
2022-12-17,zqerwqxz,Katie4,1h 09m 01s 420ms,4141.42,https://www.speedrun.com/sonicfrontiers/runs/zqerwqxz
2022-12-29,yolk827y,Silentmotorboat,1h 07m 40s 410ms,4060.41,https://www.speedrun.com/sonicfrontiers/runs/yolk827y
2023-01-01,y80rex5m,Onaku,1h 05m 48s 150ms,3948.15,https://www.speedrun.com/sonicfrontiers/runs/y80rex5m
2023-01-01,y2jd7l7z,Katie4,1h 04m 21s 970ms,3861.97,https://www.speedrun.com/sonicfrontiers/runs/y2jd7l7z
2023-01-05,zxn64v8m,Onaku,1h 04m 20s 690ms,3860.69,https://www.speedrun.com/sonicfrontiers/runs/zxn64v8m
2023-01-08,zxn6qq8m,Silentmotorboat,1h 03m 35s 480ms,3815.48,https://www.speedrun.com/sonicfrontiers/runs/zxn6qq8m
2023-01-08,y6o6ej1y,Katie4,1h 02m 43s 070ms,3763.07,https://www.speedrun.com/sonicfrontiers/runs/y6o6ej1y
2023-01-14,yol6x57y,Katie4,1h 01m 43s 120ms,3703.12,https://www.speedrun.com/sonicfrontiers/runs/yol6x57y
2023-01-15,z1qxn7gy,Katie4,1h 00m 40s 640ms,3640.64,https://www.speedrun.com/sonicfrontiers/runs/z1qxn7gy
2023-01-18,y6o9e81y,Katie4,59m 53s 850ms,3593.85,https://www.speedrun.com/sonicfrontiers/runs/y6o9e81y
2023-03-13,zg2jq00y,AlphaDolphin,59m 32s 770ms,3572.77,https://www.speedrun.com/sonicfrontiers/runs/zg2jq00y
2023-05-10,zge7lpjy,AlphaDolphin,58m 37s 300ms,3517.3,https://www.speedrun.com/sonicfrontiers/runs/zge7lpjy
2023-08-01,zx3jqn5z,Onaku,58m 25s 210ms,3505.21,https://www.speedrun.com/sonicfrontiers/runs/zx3jqn5z
2023-08-29,melq200z,Onaku,56m 54s 480ms,3414.48,https://www.speedrun.com/sonicfrontiers/runs/melq200z
2023-10-15,zqdg9oxm,Onaku,55m 54s 270ms,3354.27,https://www.speedrun.com/sonicfrontiers/runs/zqdg9oxm
2023-11-03,y6q9er6z,Onaku,55m 08s 950ms,3308.95,https://www.speedrun.com/sonicfrontiers/runs/y6q9er6z
2023-11-29,mr2o5l7y,Onaku,54m 00s 980ms,3240.98,https://www.speedrun.com/sonicfrontiers/runs/mr2o5l7y
2023-12-22,z1k98ery,Onaku,53m 18s 170ms,3198.17,https://www.speedrun.com/sonicfrontiers/runs/z1k98ery
2024-01-23,m3k84w4y,Onaku,52m 57s 190ms,3177.19,https://www.speedrun.com/sonicfrontiers/runs/m3k84w4y
2024-04-03,zxqnj7gm,Onaku,52m 49s 510ms,3169.51,https://www.speedrun.com/sonicfrontiers/runs/zxqnj7gm
