Date,Id,Players,Time,Seconds,Link
2018-07-08,mr9n2k7m,Grega,1h 12m 57s,4377,https://www.speedrun.com/sonic_mania/runs/mr9n2k7m
2018-07-24,y913k0nm,grimmyhunter,54m 49s,3289,https://www.speedrun.com/sonic_mania/runs/y913k0nm
2018-07-31,y6r9qpqy,Zaxon96,48m 03s,2883,https://www.speedrun.com/sonic_mania/runs/y6r9qpqy
2018-08-01,z1oxk1jm,Zaxon96,47m 34s,2854,https://www.speedrun.com/sonic_mania/runs/z1oxk1jm
2018-08-05,zgvr8n0z,JoeyBaby69,46m 56s,2816,https://www.speedrun.com/sonic_mania/runs/zgvr8n0z
2018-08-08,yj65wk7z,Zaxon96,45m 47s,2747,https://www.speedrun.com/sonic_mania/runs/yj65wk7z
2018-08-17,mr9nlg8m,Claris,43m 10s,2590,https://www.speedrun.com/sonic_mania/runs/mr9nlg8m
2018-08-27,ywdkr7nz,Claris,42m 12s,2532,https://www.speedrun.com/sonic_mania/runs/ywdkr7nz
2018-10-29,zq4vjo1m,Claris,41m 53s,2513,https://www.speedrun.com/sonic_mania/runs/zq4vjo1m
2018-12-26,mk850nlm,Zaxon96,41m 43s,2503,https://www.speedrun.com/sonic_mania/runs/mk850nlm
2019-03-08,zgvre1jz,Claris,40m 11s,2411,https://www.speedrun.com/sonic_mania/runs/zgvre1jz
2019-03-17,ywdkronz,JoeyBaby69,39m 10s,2350,https://www.speedrun.com/sonic_mania/runs/ywdkronz
2020-10-20,y2d7o17z,Claris,36m 55s,2215,https://www.speedrun.com/sonic_mania/runs/y2d7o17z
