Date,Id,Players,Time,Seconds,Link
2016-03-30,dy4xxjkz,ult1mate,1h 12m 56s,4376,https://www.speedrun.com/ssasr/runs/dy4xxjkz
2016-07-27,6yjwo1dm,Doc23,1h 07m 04s,4024,https://www.speedrun.com/ssasr/runs/6yjwo1dm
2018-10-07,z03oo9ez,Nimputs,1h 06m 39s,3999,https://www.speedrun.com/ssasr/runs/z03oo9ez
2020-02-24,mk2n5o1m,Rasburr,1h 06m 34s,3994,https://www.speedrun.com/ssasr/runs/mk2n5o1m
2020-02-26,z574exem,Rasburr,1h 05m 57s,3957,https://www.speedrun.com/ssasr/runs/z574exem
2020-06-30,yjl2ev7z,Rasburr,1h 05m 33s,3933,https://www.speedrun.com/ssasr/runs/yjl2ev7z
2020-07-03,yokokq7z,Rasburr,1h 05m 17s,3917,https://www.speedrun.com/ssasr/runs/yokokq7z
2020-07-09,mrkv814y,Rasburr,1h 05m 08s,3908,https://www.speedrun.com/ssasr/runs/mrkv814y
2020-07-19,yv6x88xz,Rasburr,1h 04m 45s,3885,https://www.speedrun.com/ssasr/runs/yv6x88xz
2020-07-30,yw82069y,Rasburr,1h 04m 19s,3859,https://www.speedrun.com/ssasr/runs/yw82069y
2020-08-04,yjl7kx3z,Rasburr,1h 04m 14s,3854,https://www.speedrun.com/ssasr/runs/yjl7kx3z
2020-08-12,m7gj659m,SB_Night,1h 03m 35s,3815,https://www.speedrun.com/ssasr/runs/m7gj659m
2020-08-24,zn38w13y,SB_Night,1h 03m 11s,3791,https://www.speedrun.com/ssasr/runs/zn38w13y
2020-12-30,m3g83kqz,Tailsdk,1h 03m 02s,3782,https://www.speedrun.com/ssasr/runs/m3g83kqz
2021-01-04,zq4oo9rm,Mischievous,1h 02m 22s,3742,https://www.speedrun.com/ssasr/runs/zq4oo9rm
2021-01-06,y4edk9dm,Mischievous,1h 02m 00s,3720,https://www.speedrun.com/ssasr/runs/y4edk9dm
2021-04-12,zgg3oxjz,Mischievous,1h 01m 48s,3708,https://www.speedrun.com/ssasr/runs/zgg3oxjz
2021-09-18,mrnrv17y,Corey,1h 01m 44s 132ms,3704.132,https://www.speedrun.com/ssasr/runs/mrnrv17y
2023-01-24,mro64vgm,SB_Night,1h 01m 41s,3701,https://www.speedrun.com/ssasr/runs/mro64vgm
2023-03-04,z5egovjz,dwaitley24,1h 01m 36s,3696,https://www.speedrun.com/ssasr/runs/z5egovjz
2023-03-11,ywvwdx9z,dwaitley24,1h 01m 32s,3692,https://www.speedrun.com/ssasr/runs/ywvwdx9z
2023-03-25,ywv5nv3z,dwaitley24,1h 01m 30s,3690,https://www.speedrun.com/ssasr/runs/ywv5nv3z
2023-04-01,zpgvx7nz,dwaitley24,1h 01m 29s,3689,https://www.speedrun.com/ssasr/runs/zpgvx7nz
2023-04-16,mro3q77m,dwaitley24,1h 01m 24s,3684,https://www.speedrun.com/ssasr/runs/mro3q77m
2023-05-20,melo8d2z,dwaitley24,1h 01m 22s,3682,https://www.speedrun.com/ssasr/runs/melo8d2z
2023-05-28,ywrddq9m,dwaitley24,1h 01m 19s,3679,https://www.speedrun.com/ssasr/runs/ywrddq9m
2023-07-02,zpwdw9ry,dwaitley24,1h 01m 18s,3678,https://www.speedrun.com/ssasr/runs/zpwdw9ry
2023-07-04,yl61g9ry,dwaitley24,1h 01m 15s,3675,https://www.speedrun.com/ssasr/runs/yl61g9ry
2023-07-29,znv9rv9m,dwaitley24,1h 01m 13s,3673,https://www.speedrun.com/ssasr/runs/znv9rv9m
2023-08-27,y6210k1z,dwaitley24,1h 01m 07s,3667,https://www.speedrun.com/ssasr/runs/y6210k1z
2024-02-11,zqdxle5m,dwaitley24,1h 01m 06s,3666,https://www.speedrun.com/ssasr/runs/zqdxle5m
2024-03-17,y6vrgjqm,dwaitley24,1h 01m 03s,3663,https://www.speedrun.com/ssasr/runs/y6vrgjqm
