Date,Id,Players,Time,Seconds,Link
2020-09-15,yj6kwvgz,krille71,06m 08s 616ms,368.616,https://www.speedrun.com/spelunky2/runs/yj6kwvgz
2020-09-17,y8rqll5m,d_tea,03m 36s 200ms,216.2,https://www.speedrun.com/spelunky2/runs/y8rqll5m
2020-09-24,ywdpwk2z,InTol,03m 01s 700ms,181.7,https://www.speedrun.com/spelunky2/runs/ywdpwk2z
2020-09-28,y2d1d87z,d_tea,02m 53s 766ms,173.766,https://www.speedrun.com/spelunky2/runs/y2d1d87z
2020-10-07,zn3kpp8y,Kinnijup,02m 43s 933ms,163.933,https://www.speedrun.com/spelunky2/runs/zn3kpp8y
2020-10-15,zplld98m,Buddy7heElf,02m 43s 650ms,163.65,https://www.speedrun.com/spelunky2/runs/zplld98m
2020-10-20,yv92o94z,groomp,02m 41s 100ms,161.1,https://www.speedrun.com/spelunky2/runs/yv92o94z
2020-10-21,yv92rwxz,d_tea,02m 28s 216ms,148.216,https://www.speedrun.com/spelunky2/runs/yv92rwxz
2020-11-17,ywd606nz,Kinnijup,02m 06s 183ms,126.183,https://www.speedrun.com/spelunky2/runs/ywd606nz
2020-12-12,zn3xp83y,fusuy321,01m 55s 366ms,115.366,https://www.speedrun.com/spelunky2/runs/zn3xp83y
2021-03-18,zp3oq6gm,groomp,01m 54s 750ms,114.75,https://www.speedrun.com/spelunky2/runs/zp3oq6gm
2021-04-04,y42dnx2m,fusuy321,01m 49s 583ms,109.583,https://www.speedrun.com/spelunky2/runs/y42dnx2m
2021-05-07,ylqo1nrz,HectiqueX,01m 43s 550ms,103.55,https://www.speedrun.com/spelunky2/runs/ylqo1nrz
2021-06-24,m3rwr94m,HectiqueX,01m 38s 650ms,98.65,https://www.speedrun.com/spelunky2/runs/m3rwr94m
2021-06-29,z1r66vwm,HectiqueX,01m 38s 116ms,98.116,https://www.speedrun.com/spelunky2/runs/z1r66vwm
2021-07-04,zxg551gy,HectiqueX,01m 35s 500ms,95.5,https://www.speedrun.com/spelunky2/runs/zxg551gy
2022-04-10,m33d61gm,fusuy321,01m 35s 116ms,95.116,https://www.speedrun.com/spelunky2/runs/m33d61gm
2022-07-11,zx7p488y,ivyoary,01m 33s 600ms,93.6,https://www.speedrun.com/spelunky2/runs/zx7p488y
2022-07-15,y60wojjy,ZSRoach,01m 33s 400ms,93.4,https://www.speedrun.com/spelunky2/runs/y60wojjy
2022-08-06,zgq7ejny,ZSRoach,01m 32s 483ms,92.483,https://www.speedrun.com/spelunky2/runs/zgq7ejny
2022-08-16,z0l9erez,ZSRoach,01m 27s 416ms,87.416,https://www.speedrun.com/spelunky2/runs/z0l9erez
2023-04-07,m3l4j1wm,ZSRoach,01m 25s 966ms,85.966,https://www.speedrun.com/spelunky2/runs/m3l4j1wm
2023-04-18,zg24g3ey,ZSRoach,01m 25s 466ms,85.466,https://www.speedrun.com/spelunky2/runs/zg24g3ey
2023-06-18,yvpp6key,TheRealShadow,01m 24s 250ms,84.25,https://www.speedrun.com/spelunky2/runs/yvpp6key
2023-08-05,zx308rgz,TheRealShadow,01m 21s 250ms,81.25,https://www.speedrun.com/spelunky2/runs/zx308rgz
2023-09-30,m73qr80y,ZSRoach,01m 19s 933ms,79.933,https://www.speedrun.com/spelunky2/runs/m73qr80y
