Date,Id,Players,Time,Seconds,Link
2017-07-21,yw1d2enz,sernnetic,2h 59m 22s,10762,https://www.speedrun.com/Splatoon2/runs/yw1d2enz
2017-07-21,zxvd04gy,movefish,2h 52m 42s,10362,https://www.speedrun.com/Splatoon2/runs/zxvd04gy
2017-07-21,y971e9nm,Linkums,2h 45m 55s,9955,https://www.speedrun.com/Splatoon2/runs/y971e9nm
2017-07-22,zpqlojvy,Linkums,2h 26m 47s,8807,https://www.speedrun.com/Splatoon2/runs/zpqlojvy
2017-07-22,m3dg2qwz,ThunderFilms,2h 07m 42s,7662,https://www.speedrun.com/Splatoon2/runs/m3dg2qwz
2017-07-22,m795485y,TonesBalones,1h 59m 59s,7199,https://www.speedrun.com/Splatoon2/runs/m795485y
2017-07-24,zxvd178y,movefish,1h 52m 31s,6751,https://www.speedrun.com/Splatoon2/runs/zxvd178y
2017-07-25,y8qr53dy,TonesBalones,1h 51m 40s,6700,https://www.speedrun.com/Splatoon2/runs/y8qr53dy
2017-07-27,m79890wy,movefish,1h 50m 54s,6654,https://www.speedrun.com/Splatoon2/runs/m79890wy
2017-07-28,yo49257m,movefish,1h 49m 22s,6562,https://www.speedrun.com/Splatoon2/runs/yo49257m
2017-07-28,z0e61njm,TonesBalones,1h 46m 53s,6413,https://www.speedrun.com/Splatoon2/runs/z0e61njm
2017-07-28,y4521jkm,ThunderFilms,1h 46m 46s,6406,https://www.speedrun.com/Splatoon2/runs/y4521jkm
2017-07-29,y8qv231y,Vallu,1h 46m 26s,6386,https://www.speedrun.com/Splatoon2/runs/y8qv231y
2017-07-29,ydq956vm,movefish,1h 44m 38s,6278,https://www.speedrun.com/Splatoon2/runs/ydq956vm
2017-08-02,ydq9w2xm,movefish,1h 42m 55s,6175,https://www.speedrun.com/Splatoon2/runs/ydq9w2xm
2017-08-04,z0e6xw8m,movefish,1h 41m 35s,6095,https://www.speedrun.com/Splatoon2/runs/z0e6xw8m
2017-08-07,ydq9l60m,movefish,1h 39m 06s,5946,https://www.speedrun.com/Splatoon2/runs/ydq9l60m
2017-08-17,y23xd99m,hashedrice,1h 37m 40s,5860,https://www.speedrun.com/Splatoon2/runs/y23xd99m
2017-08-23,z13rl8gm,movefish,1h 37m 38s,5858,https://www.speedrun.com/Splatoon2/runs/z13rl8gm
2017-08-29,y67d8qpm,hashedrice,1h 36m 49s,5809,https://www.speedrun.com/Splatoon2/runs/y67d8qpm
2017-09-03,zpq8qlvy,movefish,1h 36m 36s,5796,https://www.speedrun.com/Splatoon2/runs/zpq8qlvy
2017-09-04,yw1kpn9z,hashedrice,1h 36m 17s,5777,https://www.speedrun.com/Splatoon2/runs/yw1kpn9z
2017-09-07,m7975ewy,hashedrice,1h 35m 37s,5737,https://www.speedrun.com/Splatoon2/runs/m7975ewy
2017-09-11,mek43x3m,hashedrice,1h 35m 13s,5713,https://www.speedrun.com/Splatoon2/runs/mek43x3m
2017-09-12,z13xgjgm,hashedrice,1h 34m 46s,5686,https://www.speedrun.com/Splatoon2/runs/z13xgjgm
2017-09-15,z0e7xlem,hashedrice,1h 34m 06s,5646,https://www.speedrun.com/Splatoon2/runs/z0e7xlem
2017-09-25,m3d6dr6z,hashedrice,1h 33m 37s,5617,https://www.speedrun.com/Splatoon2/runs/m3d6dr6z
2017-10-01,z5ovv5gy,movefish,1h 33m 19s,5599,https://www.speedrun.com/Splatoon2/runs/z5ovv5gy
2017-10-14,yvgr43xy,movefish,1h 32m 58s,5578,https://www.speedrun.com/Splatoon2/runs/yvgr43xy
2017-10-25,yo4po27m,movefish,1h 32m 44s,5564,https://www.speedrun.com/Splatoon2/runs/yo4po27m
2017-11-03,yo4dv21m,hashedrice,1h 32m 30s,5550,https://www.speedrun.com/Splatoon2/runs/yo4dv21m
2020-04-30,znk3wxlz,movefish,1h 32m 09s,5529,https://www.speedrun.com/Splatoon2/runs/znk3wxlz
