Date,Id,Players,Time,Seconds,Link
2012-12-03,y25q6gwy,NathanJuiceBox,2h 15m 07s,8107,https://www.speedrun.com/bfbb/runs/y25q6gwy
2012-12-29,mk47wkvy,Hazel,1h 51m 45s,6705,https://www.speedrun.com/bfbb/runs/mk47wkvy
2013-01-04,ylk4272z,Hazel,1h 51m 15s,6675,https://www.speedrun.com/bfbb/runs/ylk4272z
2013-01-04,zpr0vdnm,Coel,1h 49m 51s,6591,https://www.speedrun.com/bfbb/runs/zpr0vdnm
2013-01-13,y97nevvm,Hazel,1h 45m 29s,6329,https://www.speedrun.com/bfbb/runs/y97nevvm
2013-01-17,y41p0oqy,Coel,1h 42m 52s,6172,https://www.speedrun.com/bfbb/runs/y41p0oqy
2013-01-30,z01vkjjy,Hazel,1h 38m 10s,5890,https://www.speedrun.com/bfbb/runs/z01vkjjy
2013-01-30,y815n6wz,Coel,1h 34m 58s,5698,https://www.speedrun.com/bfbb/runs/y815n6wz
2013-02-10,zq6gp05y,Coel,1h 27m 31s,5251,https://www.speedrun.com/bfbb/runs/zq6gp05y
2013-03-07,y65lw56z,Coel,1h 26m 49s,5209,https://www.speedrun.com/bfbb/runs/y65lw56z
2013-03-09,yl9o5k2y,Coel,1h 25m 01s,5101,https://www.speedrun.com/bfbb/runs/yl9o5k2y
2013-08-01,yw4l5r2z,Coel,1h 24m 12s,5052,https://www.speedrun.com/bfbb/runs/yw4l5r2z
2013-08-02,yj3n727z,Coel,1h 22m 26s,4946,https://www.speedrun.com/bfbb/runs/yj3n727z
2013-08-10,y4w952dm,Hazel,1h 22m 24s,4944,https://www.speedrun.com/bfbb/runs/y4w952dm
2013-08-17,z0e60o4m,Coel,1h 19m 59s,4799,https://www.speedrun.com/bfbb/runs/z0e60o4m
2014-02-20,pzgerny2,Hazel,1h 19m 26s,4766,https://www.speedrun.com/bfbb/runs/pzgerny2
2014-03-23,y676jn1m,Coel,1h 17m 39s,4659,https://www.speedrun.com/bfbb/runs/y676jn1m
2014-06-07,y23v806m,Coel,1h 15m 56s,4556,https://www.speedrun.com/bfbb/runs/y23v806m
2014-07-04,mk32x2xz,Coel,1h 15m 26s,4526,https://www.speedrun.com/bfbb/runs/mk32x2xz
2014-07-10,dy4q01km,Coel,1h 12m 42s,4362,https://www.speedrun.com/bfbb/runs/dy4q01km
2015-08-12,8y863xm1,Coel,1h 09m 29s,4169,https://www.speedrun.com/bfbb/runs/8y863xm1
2016-03-05,9yopwkjm,Fuff,1h 09m 25s,4165,https://www.speedrun.com/bfbb/runs/9yopwkjm
2016-03-15,oy2e195y,Fuff,1h 08m 52s,4132,https://www.speedrun.com/bfbb/runs/oy2e195y
2016-03-28,1zx873gm,Fuff,1h 08m 24s,4104,https://www.speedrun.com/bfbb/runs/1zx873gm
2016-04-08,8m7xe45y,Fuff,1h 07m 53s,4073,https://www.speedrun.com/bfbb/runs/8m7xe45y
2016-05-28,8m72re4z,Fuff,1h 07m 40s,4060,https://www.speedrun.com/bfbb/runs/8m72re4z
2016-06-03,8m70g99y,Fuff,1h 07m 31s,4051,https://www.speedrun.com/bfbb/runs/8m70g99y
2016-06-05,8m70599y,SHiFT,1h 07m 14s,4034,https://www.speedrun.com/bfbb/runs/8m70599y
2016-06-09,0y62dnqz,Fuff,1h 07m 03s,4023,https://www.speedrun.com/bfbb/runs/0y62dnqz
2016-06-11,nz1lx09m,Fuff,1h 06m 43s,4003,https://www.speedrun.com/bfbb/runs/nz1lx09m
2016-06-19,2ywrrv2m,SHiFT,1h 06m 35s,3995,https://www.speedrun.com/bfbb/runs/2ywrrv2m
2016-06-27,1zqjpp9m,SHiFT,1h 05m 52s,3952,https://www.speedrun.com/bfbb/runs/1zqjpp9m
2016-07-07,7yll9jny,SHiFT,1h 05m 51s,3951,https://www.speedrun.com/bfbb/runs/7yll9jny
2016-07-08,kz5koqjz,SHiFT,1h 05m 10s,3910,https://www.speedrun.com/bfbb/runs/kz5koqjz
2016-07-10,7yll03xy,SHiFT,1h 04m 28s,3868,https://www.speedrun.com/bfbb/runs/7yll03xy
2016-07-21,6yjwdonm,SHiFT,1h 03m 43s,3823,https://www.speedrun.com/bfbb/runs/6yjwdonm
2016-07-23,9me0e92z,SHiFT,1h 03m 36s 840ms,3816.84,https://www.speedrun.com/bfbb/runs/9me0e92z
2016-07-28,9me0g90z,SHiFT,1h 03m 19s,3799,https://www.speedrun.com/bfbb/runs/9me0g90z
2016-07-31,kz5klnez,SHiFT,1h 02m 58s,3778,https://www.speedrun.com/bfbb/runs/kz5klnez
2016-08-11,pm3018dm,SHiFT,1h 02m 56s,3776,https://www.speedrun.com/bfbb/runs/pm3018dm
2016-08-12,pydn5w0m,SHiFT,1h 02m 50s,3770,https://www.speedrun.com/bfbb/runs/pydn5w0m
2016-08-14,dy46ejdz,SHiFT,1h 02m 21s,3741,https://www.speedrun.com/bfbb/runs/dy46ejdz
2016-08-19,pm303rgm,SHiFT,1h 02m 18s,3738,https://www.speedrun.com/bfbb/runs/pm303rgm
2016-08-25,9mew072m,SHiFT,1h 02m 13s,3733,https://www.speedrun.com/bfbb/runs/9mew072m
2016-08-25,9mrv207z,SHiFT,1h 01m 46s,3706,https://www.speedrun.com/bfbb/runs/9mrv207z
2016-08-30,6yjoq2oz,SHiFT,1h 01m 38s,3698,https://www.speedrun.com/bfbb/runs/6yjoq2oz
2016-09-09,pzgo7knm,SHiFT,1h 01m 04s,3664,https://www.speedrun.com/bfbb/runs/pzgo7knm
2016-09-23,oy2wj15y,SHiFT,1h 00m 32s,3632,https://www.speedrun.com/bfbb/runs/oy2wj15y
2016-10-27,oy2ngo9y,SHiFT,1h 00m 15s,3615,https://www.speedrun.com/bfbb/runs/oy2ngo9y
2016-11-21,wzpo2ogm,SHiFT,1h 00m 12s,3612,https://www.speedrun.com/bfbb/runs/wzpo2ogm
2016-12-09,0zn5w73z,SHiFT,1h 00m 04s,3604,https://www.speedrun.com/bfbb/runs/0zn5w73z
2016-12-22,pzg9pk0m,SHiFT,1h 00m 03s,3603,https://www.speedrun.com/bfbb/runs/pzg9pk0m
2017-01-04,2yw5o59y,SHiFT,59m 53s,3593,https://www.speedrun.com/bfbb/runs/2yw5o59y
2017-01-04,9mep563y,SHiFT,59m 28s,3568,https://www.speedrun.com/bfbb/runs/9mep563y
2017-03-11,pzg472jz,SHiFT,59m 26s,3566,https://www.speedrun.com/bfbb/runs/pzg472jz
2017-03-22,9mr32pgm,SHiFT,59m 11s,3551,https://www.speedrun.com/bfbb/runs/9mr32pgm
2017-04-05,yw1eq5nz,SHiFT,59m 03s,3543,https://www.speedrun.com/bfbb/runs/yw1eq5nz
2017-04-17,y97oq62m,SHiFT,58m 56s,3536,https://www.speedrun.com/bfbb/runs/y97oq62m
2017-04-19,yw1el29z,SHiFT,58m 50s,3530,https://www.speedrun.com/bfbb/runs/yw1el29z
2017-04-23,zxvvkwky,SHiFT,58m 46s,3526,https://www.speedrun.com/bfbb/runs/zxvvkwky
2017-05-02,z0eejgom,SHiFT,58m 42s,3522,https://www.speedrun.com/bfbb/runs/z0eejgom
2017-05-19,y23q0v6m,SHiFT,58m 20s,3500,https://www.speedrun.com/bfbb/runs/y23q0v6m
2017-05-22,mrq8lxgy,SHiFT,58m 18s,3498,https://www.speedrun.com/bfbb/runs/mrq8lxgy
2017-05-31,zq63xg1y,SHiFT,58m 13s,3493,https://www.speedrun.com/bfbb/runs/zq63xg1y
2017-06-15,ydq64nwm,SHiFT,58m 09s,3489,https://www.speedrun.com/bfbb/runs/ydq64nwm
2017-06-16,y2316n6m,SHiFT,57m 59s,3479,https://www.speedrun.com/bfbb/runs/y2316n6m
2017-08-05,y8qvk25y,SHiFT,57m 58s,3478,https://www.speedrun.com/bfbb/runs/y8qvk25y
2017-08-07,y8qvpv5y,SHiFT,57m 56s,3476,https://www.speedrun.com/bfbb/runs/y8qvpv5y
2017-08-08,y8qvow1y,SHiFT,57m 42s,3462,https://www.speedrun.com/bfbb/runs/y8qvow1y
2017-08-25,m79dnl9y,SHiFT,57m 36s,3456,https://www.speedrun.com/bfbb/runs/m79dnl9y
2017-09-13,y237j16m,SHiFT,57m 32s,3452,https://www.speedrun.com/bfbb/runs/y237j16m
2018-02-15,z13vv6rm,SHiFT,57m 29s,3449,https://www.speedrun.com/bfbb/runs/z13vv6rm
2018-02-17,zgnj0gdy,SHiFT,57m 21s,3441,https://www.speedrun.com/bfbb/runs/zgnj0gdy
2018-02-21,z136oggm,SHiFT,57m 16s,3436,https://www.speedrun.com/bfbb/runs/z136oggm
2018-03-01,zq6p5q9y,SHiFT,57m 11s,3431,https://www.speedrun.com/bfbb/runs/zq6p5q9y
2018-03-06,zq65r69y,SHiFT,57m 10s,3430,https://www.speedrun.com/bfbb/runs/zq65r69y
2018-03-11,z137gd7m,SHiFT,57m 08s,3428,https://www.speedrun.com/bfbb/runs/z137gd7m
2018-03-12,yvg58e6y,SHiFT,57m 01s,3421,https://www.speedrun.com/bfbb/runs/yvg58e6y
2018-03-13,z5o6kkey,SHiFT,56m 57s,3417,https://www.speedrun.com/bfbb/runs/z5o6kkey
2018-04-28,z0egjq4m,SHiFT,56m 56s,3416,https://www.speedrun.com/bfbb/runs/z0egjq4m
2018-04-29,mrqgx18y,SHiFT,56m 54s,3414,https://www.speedrun.com/bfbb/runs/mrqgx18y
2018-05-02,z0egkq8m,SHiFT,56m 46s,3406,https://www.speedrun.com/bfbb/runs/z0egkq8m
2018-05-14,z0evxl8m,SHiFT,56m 32s,3392,https://www.speedrun.com/bfbb/runs/z0evxl8m
