Date,Id,Players,Time,Seconds,Link
2018-11-13,y43x67dz,Alexo,47m 46s,2866,https://www.speedrun.com/spyrortconsoletimetrials/runs/y43x67dz
2018-11-13,zx48x6qy,ChrisLBC,46m 40s,2800,https://www.speedrun.com/spyrortconsoletimetrials/runs/zx48x6qy
2018-11-14,m3oxjldm,LukeRF44,45m 29s,2729,https://www.speedrun.com/spyrortconsoletimetrials/runs/m3oxjldm
2018-11-14,zx48jo5y,ChrisLBC,41m 03s,2463,https://www.speedrun.com/spyrortconsoletimetrials/runs/zx48jo5y
2018-11-16,m7pxe45m,Alexo,35m 05s,2105,https://www.speedrun.com/spyrortconsoletimetrials/runs/m7pxe45m
2018-11-18,yvj0kp6y,LuluPatate,33m 47s,2027,https://www.speedrun.com/spyrortconsoletimetrials/runs/yvj0kp6y
2018-11-18,zp0de5xm,Roach788,33m 31s,2011,https://www.speedrun.com/spyrortconsoletimetrials/runs/zp0de5xm
2018-11-18,zp0de7vm,ChrisLBC,33m 21s,2001,https://www.speedrun.com/spyrortconsoletimetrials/runs/zp0de7vm
2018-11-18,yd31xkxz,ChrisLBC,33m 11s,1991,https://www.speedrun.com/spyrortconsoletimetrials/runs/yd31xkxz
2018-11-21,y2qj195y,LuluPatate,31m 38s,1898,https://www.speedrun.com/spyrortconsoletimetrials/runs/y2qj195y
2018-11-22,yj48ldny,Jumpyluff,30m 57s,1857,https://www.speedrun.com/spyrortconsoletimetrials/runs/yj48ldny
2018-11-25,y890jgnm,ChrisLBC,30m 39s,1839,https://www.speedrun.com/spyrortconsoletimetrials/runs/y890jgnm
2018-11-26,yl4n162m,LuluPatate,30m 34s,1834,https://www.speedrun.com/spyrortconsoletimetrials/runs/yl4n162m
2018-11-27,y9266qnz,LuluPatate,30m 15s,1815,https://www.speedrun.com/spyrortconsoletimetrials/runs/y9266qnz
2018-11-30,m3oljjgm,LuluPatate,29m 57s,1797,https://www.speedrun.com/spyrortconsoletimetrials/runs/m3oljjgm
2018-12-01,yl4n5pxm,ChrisLBC,29m 41s,1781,https://www.speedrun.com/spyrortconsoletimetrials/runs/yl4n5pxm
2018-12-06,yd3jqpvz,ChrisLBC,29m 10s,1750,https://www.speedrun.com/spyrortconsoletimetrials/runs/yd3jqpvz
2018-12-14,zp0wgn8m,LuluPatate,29m 08s,1748,https://www.speedrun.com/spyrortconsoletimetrials/runs/zp0wgn8m
2018-12-17,yvjpl96y,LuluPatate,28m 43s,1723,https://www.speedrun.com/spyrortconsoletimetrials/runs/yvjpl96y
2018-12-22,y6pq3g6m,LuluPatate,28m 22s,1702,https://www.speedrun.com/spyrortconsoletimetrials/runs/y6pq3g6m
2019-01-02,y43kjk2z,LuluPatate,28m 15s,1695,https://www.speedrun.com/spyrortconsoletimetrials/runs/y43kjk2z
2019-01-06,m3okepgm,ChrisLBC,28m 00s,1680,https://www.speedrun.com/spyrortconsoletimetrials/runs/m3okepgm
2019-01-25,yl4xrjkm,N1,27m 52s,1672,https://www.speedrun.com/spyrortconsoletimetrials/runs/yl4xrjkm
2019-02-23,m7pl2d9m,ChrisLBC,27m 42s,1662,https://www.speedrun.com/spyrortconsoletimetrials/runs/m7pl2d9m
2019-03-01,yj4q09oy,LuluPatate,27m 34s,1654,https://www.speedrun.com/spyrortconsoletimetrials/runs/yj4q09oy
2019-03-17,y6pwp80m,LuluPatate,27m 25s,1645,https://www.speedrun.com/spyrortconsoletimetrials/runs/y6pwp80m
2019-04-20,ywp9qe2z,ChrisLBC,27m 23s,1643,https://www.speedrun.com/spyrortconsoletimetrials/runs/ywp9qe2z
2019-04-22,yo2wl07z,LuluPatate,27m 14s,1634,https://www.speedrun.com/spyrortconsoletimetrials/runs/yo2wl07z
2022-01-25,mr6rxwgm,Narwhal,27m 00s,1620,https://www.speedrun.com/spyrortconsoletimetrials/runs/mr6rxwgm
2022-02-11,y6nq4l0z,Narwhal,26m 45s,1605,https://www.speedrun.com/spyrortconsoletimetrials/runs/y6nq4l0z
2022-02-24,yorqnj7y,Narwhal,26m 37s,1597,https://www.speedrun.com/spyrortconsoletimetrials/runs/yorqnj7y
2022-05-14,y2px1n7z,Narwhal,26m 33s,1593,https://www.speedrun.com/spyrortconsoletimetrials/runs/y2px1n7z
2022-05-20,y2p7edwz,Narwhal,26m 28s,1588,https://www.speedrun.com/spyrortconsoletimetrials/runs/y2p7edwz
2022-05-25,znp7q3lm,Narwhal,26m 18s,1578,https://www.speedrun.com/spyrortconsoletimetrials/runs/znp7q3lm
2022-06-01,zp9957xm,Narwhal,26m 05s,1565,https://www.speedrun.com/spyrortconsoletimetrials/runs/zp9957xm
2022-08-04,mkd46rly,Narwhal,25m 56s,1556,https://www.speedrun.com/spyrortconsoletimetrials/runs/mkd46rly
2022-12-31,mro9qrdm,DrHouse,25m 49s,1549,https://www.speedrun.com/spyrortconsoletimetrials/runs/mro9qrdm
2023-01-15,y80d0enm,DrHouse,25m 45s,1545,https://www.speedrun.com/spyrortconsoletimetrials/runs/y80d0enm
2023-01-27,meejnx2m,DrHouse,25m 41s,1541,https://www.speedrun.com/spyrortconsoletimetrials/runs/meejnx2m
2023-01-28,y2j0rn6z,Narwhal,25m 32s,1532,https://www.speedrun.com/spyrortconsoletimetrials/runs/y2j0rn6z
2023-01-29,y2j0o2jz,DrHouse,25m 24s,1524,https://www.speedrun.com/spyrortconsoletimetrials/runs/y2j0o2jz
2023-02-03,m3l38kqm,DrHouse,25m 19s,1519,https://www.speedrun.com/spyrortconsoletimetrials/runs/m3l38kqm
2023-02-04,zpgdrq8z,DrHouse,25m 09s,1509,https://www.speedrun.com/spyrortconsoletimetrials/runs/zpgdrq8z
2023-02-12,m722360z,DrHouse,24m 57s,1497,https://www.speedrun.com/spyrortconsoletimetrials/runs/m722360z
2024-07-11,z1n3jqry,Narwhal,24m 55s,1495,https://www.speedrun.com/spyrortconsoletimetrials/runs/z1n3jqry
