Date,Id,Players,Time,Seconds,Link
2013-11-18,y8q7535y,SSBMstuff,45m 06s,2706,https://www.speedrun.com/spyro3/runs/y8q7535y
2013-11-19,zn8nd88z,Crash41596,43m 13s,2593,https://www.speedrun.com/spyro3/runs/zn8nd88z
2013-11-19,yw19l1pz,SSBMstuff,41m 29s,2489,https://www.speedrun.com/spyro3/runs/yw19l1pz
2013-11-19,mekqrk9m,SSBMstuff,40m 52s,2452,https://www.speedrun.com/spyro3/runs/mekqrk9m
2013-11-19,yo4w147m,SSBMstuff,36m 41s,2201,https://www.speedrun.com/spyro3/runs/yo4w147m
2013-11-20,y97r47vm,Touval,34m 45s,2085,https://www.speedrun.com/spyro3/runs/y97r47vm
2013-11-20,mk46j4vy,SSBMstuff,33m 31s,2011,https://www.speedrun.com/spyro3/runs/mk46j4vy
2013-11-28,m3dpedwz,Touval,31m 54s,1914,https://www.speedrun.com/spyro3/runs/m3dpedwz
2013-12-04,y671k71m,Touval,31m 01s,1861,https://www.speedrun.com/spyro3/runs/y671k71m
2014-02-14,y23olq9m,SSBMstuff,30m 40s,1840,https://www.speedrun.com/spyro3/runs/y23olq9m
2014-04-09,pm3d8qz0,Touval,30m 30s,1830,https://www.speedrun.com/spyro3/runs/pm3d8qz0
2014-08-05,y671kppm,grantchil,30m 22s,1822,https://www.speedrun.com/spyro3/runs/y671kppm
2014-08-15,y8q7591y,grantchil,29m 02s,1742,https://www.speedrun.com/spyro3/runs/y8q7591y
2015-01-09,y676qxpm,jeremythompson,29m 00s,1740,https://www.speedrun.com/spyro3/runs/y676qxpm
2015-02-05,yvg2v06y,jeremythompson,28m 51s,1731,https://www.speedrun.com/spyro3/runs/yvg2v06y
2015-02-25,zn8oeq3z,jeremythompson,28m 36s,1716,https://www.speedrun.com/spyro3/runs/zn8oeq3z
2015-03-04,yw10n60z,jeremythompson,27m 17s,1637,https://www.speedrun.com/spyro3/runs/yw10n60z
2015-07-10,zgnx8qdy,jeremythompson,27m 16s,1636,https://www.speedrun.com/spyro3/runs/zgnx8qdy
2015-08-31,mek9013m,jeremythompson,27m 09s,1629,https://www.speedrun.com/spyro3/runs/mek9013m
2015-10-03,yjk4e7gm,grantchil,26m 11s,1571,https://www.speedrun.com/spyro3/runs/yjk4e7gm
2015-11-18,yo49oddm,jeremythompson,26m 05s,1565,https://www.speedrun.com/spyro3/runs/yo49oddm
2016-01-26,y97nkxkm,jeremythompson,26m 03s,1563,https://www.speedrun.com/spyro3/runs/y97nkxkm
2016-01-30,z138kg9m,jeremythompson,25m 39s,1539,https://www.speedrun.com/spyro3/runs/z138kg9m
2016-05-13,mk47qd1y,jeremythompson,25m 23s,1523,https://www.speedrun.com/spyro3/runs/mk47qd1y
2016-07-31,0y6qjl1z,jeremythompson,24m 57s,1497,https://www.speedrun.com/spyro3/runs/0y6qjl1z
2017-03-01,z5o0kxny,jeremythompson,24m 53s,1493,https://www.speedrun.com/spyro3/runs/z5o0kxny
2017-03-19,zq6gd9xy,jeremythompson,24m 52s,1492,https://www.speedrun.com/spyro3/runs/zq6gd9xy
2017-03-20,y23vkj9m,jeremythompson,24m 47s 750ms,1487.75,https://www.speedrun.com/spyro3/runs/y23vkj9m
2017-05-04,yw10nv0z,jeremythompson,24m 47s 250ms,1487.25,https://www.speedrun.com/spyro3/runs/yw10nv0z
2017-05-09,y97nk6km,jeremythompson,24m 32s,1472,https://www.speedrun.com/spyro3/runs/y97nk6km
2017-05-21,z5o0keny,jeremythompson,24m 28s,1468,https://www.speedrun.com/spyro3/runs/z5o0keny
2017-07-31,z0e6xj9m,jeremythompson,24m 21s,1461,https://www.speedrun.com/spyro3/runs/z0e6xj9m
2017-12-02,mrqo254y,jeremythompson,24m 12s,1452,https://www.speedrun.com/spyro3/runs/mrqo254y
2018-03-04,z5o6o5ey,jeremythompson,24m 08s,1448,https://www.speedrun.com/spyro3/runs/z5o6o5ey
2018-05-06,yj4lxnny,jeremythompson,24m 06s,1446,https://www.speedrun.com/spyro3/runs/yj4lxnny
2018-07-26,me8o3v8m,jeremythompson,24m 03s 750ms,1443.75,https://www.speedrun.com/spyro3/runs/me8o3v8m
2018-12-06,y92e2wrz,jeremythompson,24m 03s 250ms,1443.25,https://www.speedrun.com/spyro3/runs/y92e2wrz
2019-02-14,mk9or65z,jeremythompson,23m 58s,1438,https://www.speedrun.com/spyro3/runs/mk9or65z
2023-08-14,y62wdr6z,jeremythompson,23m 44s,1424,https://www.speedrun.com/spyro3/runs/y62wdr6z
