Date,Id,Players,Time,Seconds,Link
2014-10-22,mr4jnvdz,andypanther,44m 50s,2690,https://www.speedrun.com/swe1r/runs/mr4jnvdz
2014-10-24,7z01wx8y,andypanther,43m 43s,2623,https://www.speedrun.com/swe1r/runs/7z01wx8y
2015-12-05,0zn07x9y,Jisti_007,37m 15s,2235,https://www.speedrun.com/swe1r/runs/0zn07x9y
2016-11-17,8y8gvgdz,Tolarus,37m 10s 410ms,2230.41,https://www.speedrun.com/swe1r/runs/8y8gvgdz
2016-11-20,emkw5rxm,Tolarus,36m 46s 790ms,2206.79,https://www.speedrun.com/swe1r/runs/emkw5rxm
2017-02-03,8m74g24m,Tolarus,36m 33s 920ms,2193.92,https://www.speedrun.com/swe1r/runs/8m74g24m
2017-03-11,1zqxr81y,Tolarus,35m 55s 480ms,2155.48,https://www.speedrun.com/swe1r/runs/1zqxr81y
2017-05-17,yo42737m,Tolarus,35m 19s,2119,https://www.speedrun.com/swe1r/runs/yo42737m
2018-11-15,y259677y,PeterJordanson,34m 54s,2094,https://www.speedrun.com/swe1r/runs/y259677y
2018-11-20,y653w90z,PeterJordanson,34m 17s,2057,https://www.speedrun.com/swe1r/runs/y653w90z
2018-12-14,y2qojn9y,PeterJordanson,32m 48s 120ms,1968.12,https://www.speedrun.com/swe1r/runs/y2qojn9y
2019-03-04,y8jgopdz,Minx,32m 32s,1952,https://www.speedrun.com/swe1r/runs/y8jgopdz
2019-11-01,yw4v3r2z,PeterJordanson,32m 15s 650ms,1935.65,https://www.speedrun.com/swe1r/runs/yw4v3r2z
2021-01-26,zp3rrnrm,PeterJordanson,31m 57s,1917,https://www.speedrun.com/swe1r/runs/zp3rrnrm
2024-06-03,m7nlk89z,DomiraeSSB,31m 44s,1904,https://www.speedrun.com/swe1r/runs/m7nlk89z
