Date,Id,Players,Time,Seconds,Link
2020-07-23,y90p9v2y,GenericWaffle,35m 46s,2146,https://www.speedrun.com/superliminal/runs/y90p9v2y
2020-10-20,zgvxp9jz,kioskiiksoik,35m 10s,2110,https://www.speedrun.com/superliminal/runs/zgvxp9jz
2020-11-03,zxdo0wqy,giuseppe_franza,28m 01s,1681,https://www.speedrun.com/superliminal/runs/zxdo0wqy
2020-11-07,y4e8k63m,Rainom15,27m 54s 006ms,1674.006,https://www.speedrun.com/superliminal/runs/y4e8k63m
2020-11-07,yv9qvdxz,remo_cs,27m 05s 600ms,1625.6,https://www.speedrun.com/superliminal/runs/yv9qvdxz
2020-11-08,m3g607wz,TheKingWalnut,26m 42s 700ms,1602.7,https://www.speedrun.com/superliminal/runs/m3g607wz
2020-11-09,mk8ej8lm,TheKingWalnut,25m 51s 800ms,1551.8,https://www.speedrun.com/superliminal/runs/mk8ej8lm
2020-11-11,ywd3d29z,qcK,25m 39s 290ms,1539.29,https://www.speedrun.com/superliminal/runs/ywd3d29z
2020-11-11,zgvpgwdz,qcK,25m 12s 930ms,1512.93,https://www.speedrun.com/superliminal/runs/zgvpgwdz
2020-11-13,y2dpkp9z,qcK,24m 47s 520ms,1487.52,https://www.speedrun.com/superliminal/runs/y2dpkp9z
2020-11-13,z1opnv7m,NuiN,23m 39s 200ms,1419.2,https://www.speedrun.com/superliminal/runs/z1opnv7m
2020-11-14,zpl9jjxm,Jogo,23m 33s 600ms,1413.6,https://www.speedrun.com/superliminal/runs/zpl9jjxm
2020-11-15,yd015exz,Jogo,23m 26s 150ms,1406.15,https://www.speedrun.com/superliminal/runs/yd015exz
2020-11-17,zpldgxvm,NuiN,23m 11s 590ms,1391.59,https://www.speedrun.com/superliminal/runs/zpldgxvm
2020-11-18,zpldp18m,Jogo,22m 59s 480ms,1379.48,https://www.speedrun.com/superliminal/runs/zpldp18m
2021-01-10,z09vq39z,Vectors,22m 58s 590ms,1378.59,https://www.speedrun.com/superliminal/runs/z09vq39z
2021-01-21,m3n1l56y,Jogo,22m 51s 610ms,1371.61,https://www.speedrun.com/superliminal/runs/m3n1l56y
2021-02-12,z06o3njz,JiffyPBAJ,22m 38s 200ms,1358.2,https://www.speedrun.com/superliminal/runs/z06o3njz
2021-02-14,z06px74z,Jogo,22m 30s 850ms,1350.85,https://www.speedrun.com/superliminal/runs/z06px74z
2021-02-19,yd9gvqqz,Jogo,22m 22s 430ms,1342.43,https://www.speedrun.com/superliminal/runs/yd9gvqqz
2021-05-03,zggvjwjz,JiffyPBAJ,22m 08s 010ms,1328.01,https://www.speedrun.com/superliminal/runs/zggvjwjz
2021-06-06,z1rqn4wm,JiffyPBAJ,21m 54s 760ms,1314.76,https://www.speedrun.com/superliminal/runs/z1rqn4wm
2021-09-14,m77x0n4m,Jogo,21m 51s 500ms,1311.5,https://www.speedrun.com/superliminal/runs/m77x0n4m
2021-09-19,z07lkn4y,ASliceOfPi,21m 49s 230ms,1309.23,https://www.speedrun.com/superliminal/runs/z07lkn4y
2021-10-02,y27k5q5z,Arok,21m 47s 470ms,1307.47,https://www.speedrun.com/superliminal/runs/y27k5q5z
2021-10-06,y8eklp1y,Arok,21m 42s 870ms,1302.87,https://www.speedrun.com/superliminal/runs/y8eklp1y
2021-10-08,mk5p2j1m,Arok,21m 36s 770ms,1296.77,https://www.speedrun.com/superliminal/runs/mk5p2j1m
2021-12-06,z0o30poz,Arok,21m 32s 660ms,1292.66,https://www.speedrun.com/superliminal/runs/z0o30poz
2022-03-20,yvqkekxm,Arok,21m 25s 900ms,1285.9,https://www.speedrun.com/superliminal/runs/yvqkekxm
2022-05-06,mkk8x13m,DuckyCabbage,21m 23s 250ms,1283.25,https://www.speedrun.com/superliminal/runs/mkk8x13m
2022-05-07,zp9le8xm,Arok,21m 19s 740ms,1279.74,https://www.speedrun.com/superliminal/runs/zp9le8xm
2023-01-21,y4g7lxqy,DuckyCabbage,21m 19s 180ms,1279.18,https://www.speedrun.com/superliminal/runs/y4g7lxqy
2023-01-21,mkv5w03y,Arok,21m 12s 580ms,1272.58,https://www.speedrun.com/superliminal/runs/mkv5w03y
2024-07-25,z1nj0dry,first_try_i_swear,21m 10s 160ms,1270.16,https://www.speedrun.com/superliminal/runs/z1nj0dry
