Date,Id,Players,Time,Seconds,Link
2011-02-25,kz5p51dm,joe,27m 01s,1621,https://www.speedrun.com/smb/runs/kz5p51dm
2011-03-01,0znvw49m,BaronHaynes,24m 52s,1492,https://www.speedrun.com/smb/runs/0znvw49m
2011-07-22,1zxv98ky,BaronHaynes,21m 19s,1279,https://www.speedrun.com/smb/runs/1zxv98ky
2012-08-20,8y8q3wwy,Forsa,21m 07s,1267,https://www.speedrun.com/smb/runs/8y8q3wwy
2013-02-25,7yl93n2y,Negusblack,21m 02s,1262,https://www.speedrun.com/smb/runs/7yl93n2y
2013-03-20,0zn8wj9z,KingDime,20m 54s,1254,https://www.speedrun.com/smb/runs/0zn8wj9z
2013-04-03,y67ekwqm,diglio,20m 37s,1237,https://www.speedrun.com/smb/runs/y67ekwqm
2013-04-22,yvgxwloy,diglio,19m 52s,1192,https://www.speedrun.com/smb/runs/yvgxwloy
2013-07-10,2ywx3pnm,vorpal,19m 34s,1174,https://www.speedrun.com/smb/runs/2ywx3pnm
2013-09-11,0znxp4vy,vorpal,19m 26s,1166,https://www.speedrun.com/smb/runs/0znxp4vy
2013-09-17,8yvxrj8z,vorpal,19m 12s,1152,https://www.speedrun.com/smb/runs/8yvxrj8z
2013-11-05,8y8p89xz,vorpal,19m 09s,1149,https://www.speedrun.com/smb/runs/8y8p89xz
2013-11-15,z0ej454m,Mattisticus,18m 59s,1139,https://www.speedrun.com/smb/runs/z0ej454m
2013-11-20,0y6e0p0z,vorpal,18m 53s,1133,https://www.speedrun.com/smb/runs/0y6e0p0z
2013-12-02,8y8p89dz,vorpal,18m 43s,1123,https://www.speedrun.com/smb/runs/8y8p89dz
2013-12-05,zq6qxx9y,Sovlo,18m 41s,1121,https://www.speedrun.com/smb/runs/zq6qxx9y
2013-12-06,9yol8jjy,vorpal,18m 30s,1110,https://www.speedrun.com/smb/runs/9yol8jjy
2014-05-13,emk4lely,BodyBrest,18m 26s,1106,https://www.speedrun.com/smb/runs/emk4lely
2014-06-06,9meedx8m,vorpal,18m 17s,1097,https://www.speedrun.com/smb/runs/9meedx8m
2014-11-15,9yo4v30m,vorpal,18m 03s,1083,https://www.speedrun.com/smb/runs/9yo4v30m
2015-01-01,pydqjgjm,vorpal,17m 54s,1074,https://www.speedrun.com/smb/runs/pydqjgjm
2015-07-02,6yj6l6dz,vorpal,17m 43s,1063,https://www.speedrun.com/smb/runs/6yj6l6dz
2017-01-07,6yj7nooy,Hamb,17m 41s,1061,https://www.speedrun.com/smb/runs/6yj7nooy
2017-10-09,m3d62l4z,Matte,17m 37s,1057,https://www.speedrun.com/smb/runs/m3d62l4z
2018-11-12,yvj0vexy,vorpal,17m 35s,1055,https://www.speedrun.com/smb/runs/yvj0vexy
2018-12-04,zx4nr68y,Matte,17m 28s,1048,https://www.speedrun.com/smb/runs/zx4nr68y
2019-03-24,zx4p8wqy,Matte,17m 27s 267ms,1047.267,https://www.speedrun.com/smb/runs/zx4p8wqy
