Date,Id,Players,Time,Seconds,Link
2012-03-31,8y8keny1,Thundrio,39m 34s,2374,https://www.speedrun.com/supermonkeyball2/runs/8y8keny1
2013-06-09,wzpqxg8y,Jcool114,35m 00s,2100,https://www.speedrun.com/supermonkeyball2/runs/wzpqxg8y
2013-08-31,jy9k3nz4,Kittt,34m 44s,2084,https://www.speedrun.com/supermonkeyball2/runs/jy9k3nz4
2013-11-02,6yjwgnmd,nindiddeh,34m 09s,2049,https://www.speedrun.com/supermonkeyball2/runs/6yjwgnmd
2015-01-11,9mrqxe4y,alexspeedruns,33m 16s,1996,https://www.speedrun.com/supermonkeyball2/runs/9mrqxe4y
2015-01-22,6yjkr3om,Jcool114,33m 06s,1986,https://www.speedrun.com/supermonkeyball2/runs/6yjkr3om
2015-01-28,1zq6onxy,Jcool114,32m 19s,1939,https://www.speedrun.com/supermonkeyball2/runs/1zq6onxy
2015-01-31,8y8930wm,Jcool114,31m 35s,1895,https://www.speedrun.com/supermonkeyball2/runs/8y8930wm
2016-02-13,6yjpg6oy,TheLostLlama,31m 10s,1870,https://www.speedrun.com/supermonkeyball2/runs/6yjpg6oy
2016-07-16,7yllro2y,Jcool114,31m 07s,1867,https://www.speedrun.com/supermonkeyball2/runs/7yllro2y
2016-09-29,oy2wn6wy,Jcool114,31m 03s,1863,https://www.speedrun.com/supermonkeyball2/runs/oy2wn6wy
2016-10-14,dy4j27ky,Jcool114,30m 33s,1833,https://www.speedrun.com/supermonkeyball2/runs/dy4j27ky
2017-03-04,6yj0ergz,TheLostLlama,30m 24s,1824,https://www.speedrun.com/supermonkeyball2/runs/6yj0ergz
2017-06-06,yjk3g6gm,TheLostLlama,30m 03s,1803,https://www.speedrun.com/supermonkeyball2/runs/yjk3g6gm
2017-12-22,zn8vxx9z,tako,29m 37s,1777,https://www.speedrun.com/supermonkeyball2/runs/zn8vxx9z
2018-02-23,y8qgep1y,tako,29m 28s,1768,https://www.speedrun.com/supermonkeyball2/runs/y8qgep1y
2018-05-09,y23ldk5m,tako,29m 20s,1760,https://www.speedrun.com/supermonkeyball2/runs/y23ldk5m
2018-05-10,mrq3197y,tako,28m 57s,1737,https://www.speedrun.com/supermonkeyball2/runs/mrq3197y
2018-10-16,m7pwk20m,tako,28m 55s,1735,https://www.speedrun.com/supermonkeyball2/runs/m7pwk20m
2018-11-20,zg7234jz,tako,28m 46s,1726,https://www.speedrun.com/supermonkeyball2/runs/zg7234jz
2019-04-26,z11e9w9z,tako,28m 39s,1719,https://www.speedrun.com/supermonkeyball2/runs/z11e9w9z
2019-09-25,mk2ej4lm,PetresInc,28m 21s,1701,https://www.speedrun.com/supermonkeyball2/runs/mk2ej4lm
2020-07-24,m7gexx5m,Alist,28m 20s,1700,https://www.speedrun.com/supermonkeyball2/runs/m7gexx5m
2020-12-27,z09kkxoz,ComplexPlane,28m 17s,1697,https://www.speedrun.com/supermonkeyball2/runs/z09kkxoz
2021-01-06,mr9gxn8m,ComplexPlane,28m 15s,1695,https://www.speedrun.com/supermonkeyball2/runs/mr9gxn8m
2021-01-10,zn3d92ly,Alist,28m 14s,1694,https://www.speedrun.com/supermonkeyball2/runs/zn3d92ly
2021-01-14,yw01d89m,ComplexPlane,27m 59s,1679,https://www.speedrun.com/supermonkeyball2/runs/yw01d89m
2021-06-10,ylq6x03z,glockinmytoyota,27m 53s,1673,https://www.speedrun.com/supermonkeyball2/runs/ylq6x03z
2022-04-10,yop4645m,Dmt_Goobz,27m 50s,1670,https://www.speedrun.com/supermonkeyball2/runs/yop4645m
2022-05-01,y4qe3l2m,Dmt_Goobz,27m 45s,1665,https://www.speedrun.com/supermonkeyball2/runs/y4qe3l2m
2024-03-05,zq8rxx9z,callumbal,27m 43s,1663,https://www.speedrun.com/supermonkeyball2/runs/zq8rxx9z
2024-03-13,ydn097vm,callumbal,27m 32s,1652,https://www.speedrun.com/supermonkeyball2/runs/ydn097vm
2024-04-14,mkpkewxy,callumbal,27m 27s,1647,https://www.speedrun.com/supermonkeyball2/runs/mkpkewxy
