Date,Id,Players,Time,Seconds,Link
2020-07-17,z05qrljm,Max_Overpower,2h 10m 41s,7841,https://www.speedrun.com/terraria/runs/z05qrljm
2020-08-14,yd5pngqm,Max_Overpower,2h 02m 54s,7374,https://www.speedrun.com/terraria/runs/yd5pngqm
2021-02-05,zqg13l5m,Max_Overpower,1h 58m 07s,7087,https://www.speedrun.com/terraria/runs/zqg13l5m
2021-02-18,mr47xj4z,Max_Overpower,1h 56m 22s,6982,https://www.speedrun.com/terraria/runs/mr47xj4z
2021-02-26,y8v0ogdz,Dacktem,1h 52m 48s,6768,https://www.speedrun.com/terraria/runs/y8v0ogdz
2021-03-07,zgxlge0m,Max_Overpower,1h 46m 53s,6413,https://www.speedrun.com/terraria/runs/zgxlge0m
2021-03-09,yw0go9nm,Max_Overpower,1h 42m 28s,6148,https://www.speedrun.com/terraria/runs/yw0go9nm
2021-03-30,zx6ron8z,Max_Overpower,1h 28m 36s,5316,https://www.speedrun.com/terraria/runs/zx6ron8z
2022-02-22,zp2k43vy,Max_Overpower,1h 27m 20s,5240,https://www.speedrun.com/terraria/runs/zp2k43vy
2022-05-27,yl7e58rm,tek_69,1h 26m 02s,5162,https://www.speedrun.com/terraria/runs/yl7e58rm
2022-07-19,y8848gny,PsiOnyxSR,1h 25m 16s,5116,https://www.speedrun.com/terraria/runs/y8848gny
2022-08-13,y2e5eq7y,TheHaboo,1h 21m 20s,4880,https://www.speedrun.com/terraria/runs/y2e5eq7y
2022-10-07,yodx6o5m,afroman,1h 18m 37s,4717,https://www.speedrun.com/terraria/runs/yodx6o5m
2023-01-27,zqe0l4rz,Sh00g7,1h 17m 45s,4665,https://www.speedrun.com/terraria/runs/zqe0l4rz
2023-01-28,z1qp1dgy,Sh00g7,1h 17m 17s,4637,https://www.speedrun.com/terraria/runs/z1qp1dgy
2023-02-02,y4gx9nky,Sh00g7,1h 16m 38s,4598,https://www.speedrun.com/terraria/runs/y4gx9nky
2023-02-05,ydg1d90y,Sh00g7,1h 16m 04s,4564,https://www.speedrun.com/terraria/runs/ydg1d90y
2023-02-07,ywv65dnz,TheHaboo,1h 16m 01s,4561,https://www.speedrun.com/terraria/runs/ywv65dnz
2023-02-10,z1qq2ogy,Sh00g7,1h 11m 46s,4306,https://www.speedrun.com/terraria/runs/z1qq2ogy
2023-03-19,yol56d5y,Sh00g7,1h 10m 11s,4211,https://www.speedrun.com/terraria/runs/yol56d5y
2023-03-26,y96we8ky,afroman,1h 09m 28s,4168,https://www.speedrun.com/terraria/runs/y96we8ky
2023-04-04,y2j45x7z,afroman,1h 05m 27s,3927,https://www.speedrun.com/terraria/runs/y2j45x7z
2023-04-10,y4gdwoky,afroman,1h 04m 42s,3882,https://www.speedrun.com/terraria/runs/y4gdwoky
2023-04-15,y6okx56y,afroman,1h 02m 41s,3761,https://www.speedrun.com/terraria/runs/y6okx56y
2023-05-15,z5p7xgem,zoethecat,1h 01m 19s,3679,https://www.speedrun.com/terraria/runs/z5p7xgem
2023-05-20,z5pjj1dm,TheHaboo,1h 00m 52s,3652,https://www.speedrun.com/terraria/runs/z5pjj1dm
2023-05-29,y86r8o5m,afroman,1h 00m 18s,3618,https://www.speedrun.com/terraria/runs/y86r8o5m
2023-05-31,znv366lm,TheHaboo,59m 18s,3558,https://www.speedrun.com/terraria/runs/znv366lm
2023-06-03,mk07e11z,afroman,58m 47s,3527,https://www.speedrun.com/terraria/runs/mk07e11z
2023-07-18,z1l934gm,TheHaboo,57m 49s,3469,https://www.speedrun.com/terraria/runs/z1l934gm
2024-01-16,mr257g7y,afroman,52m 42s,3162,https://www.speedrun.com/terraria/runs/mr257g7y
