Date,Id,Players,Time,Seconds,Link
2016-11-05,1zxjr4qy,DraQu,1h 38m 58s,5938,https://www.speedrun.com/titanfall_2/runs/1zxjr4qy
2016-11-16,nz168orm,Fexoo,1h 37m 54s,5874,https://www.speedrun.com/titanfall_2/runs/nz168orm
2016-11-21,oy28065y,AnAngryAlbino,1h 37m 46s,5866,https://www.speedrun.com/titanfall_2/runs/oy28065y
2016-11-22,6yjqp17m,Fexoo,1h 37m 31s,5851,https://www.speedrun.com/titanfall_2/runs/6yjqp17m
2016-12-07,jy9e47vz,AnAngryAlbino,1h 34m 00s,5640,https://www.speedrun.com/titanfall_2/runs/jy9e47vz
2017-01-27,pzg1080z,AnAngryAlbino,1h 33m 18s,5598,https://www.speedrun.com/titanfall_2/runs/pzg1080z
2017-03-01,8m7k355z,AnAngryAlbino,1h 32m 55s,5575,https://www.speedrun.com/titanfall_2/runs/8m7k355z
2017-03-16,8y85ee5y,AnAngryAlbino,1h 30m 49s,5449,https://www.speedrun.com/titanfall_2/runs/8y85ee5y
2017-04-18,yjkjvv3m,bryonato,1h 30m 38s,5438,https://www.speedrun.com/titanfall_2/runs/yjkjvv3m
2017-04-21,mrqqj07y,bryonato,1h 29m 40s,5380,https://www.speedrun.com/titanfall_2/runs/mrqqj07y
2017-04-28,yvggqq6y,bryonato,1h 29m 36s,5376,https://www.speedrun.com/titanfall_2/runs/yvggqq6y
2017-05-03,y233kw9m,bryonato,1h 28m 32s,5312,https://www.speedrun.com/titanfall_2/runs/y233kw9m
2017-05-17,zgn7gxdy,bryonato,1h 28m 01s,5281,https://www.speedrun.com/titanfall_2/runs/zgn7gxdy
2017-05-23,y8q967xy,bryonato,1h 26m 45s,5205,https://www.speedrun.com/titanfall_2/runs/y8q967xy
2017-07-13,y45e2jqm,bryonato,1h 26m 44s,5204,https://www.speedrun.com/titanfall_2/runs/y45e2jqm
2017-07-21,mrq90dgy,bryonato,1h 26m 34s,5194,https://www.speedrun.com/titanfall_2/runs/mrq90dgy
2017-07-22,ydq0or0m,bryonato,1h 26m 11s,5171,https://www.speedrun.com/titanfall_2/runs/ydq0or0m
2017-07-29,y97n09rm,bryonato,1h 25m 30s,5130,https://www.speedrun.com/titanfall_2/runs/y97n09rm
2017-08-31,yl9q83xy,bryonato,1h 24m 59s,5099,https://www.speedrun.com/titanfall_2/runs/yl9q83xy
2017-09-08,y237v2wm,bryonato,1h 24m 28s,5068,https://www.speedrun.com/titanfall_2/runs/y237v2wm
2017-09-28,y8qjvg5y,bryonato,1h 23m 58s,5038,https://www.speedrun.com/titanfall_2/runs/y8qjvg5y
2017-11-07,mk4d3jxy,bryonato,1h 23m 47s,5027,https://www.speedrun.com/titanfall_2/runs/mk4d3jxy
2017-11-21,zpqgnlny,bryonato,1h 23m 45s,5025,https://www.speedrun.com/titanfall_2/runs/zpqgnlny
2017-11-22,mrqoqxdy,bryonato,1h 23m 35s,5015,https://www.speedrun.com/titanfall_2/runs/mrqoqxdy
2017-12-08,zn8jllvz,bryonato,1h 23m 28s,5008,https://www.speedrun.com/titanfall_2/runs/zn8jllvz
2017-12-14,y672r21m,bryonato,1h 23m 08s,4988,https://www.speedrun.com/titanfall_2/runs/y672r21m
2017-12-28,y67q3e6m,bryonato,1h 22m 44s,4964,https://www.speedrun.com/titanfall_2/runs/y67q3e6m
2018-11-01,ywp37g0z,bryonato,1h 22m 27s,4947,https://www.speedrun.com/titanfall_2/runs/ywp37g0z
2018-11-08,mk9d503z,bryonato,1h 21m 51s,4911,https://www.speedrun.com/titanfall_2/runs/mk9d503z
2019-03-24,y43vx53z,bryonato,1h 21m 50s,4910,https://www.speedrun.com/titanfall_2/runs/y43vx53z
2019-03-24,y2q6j26y,bryonato,1h 20m 46s,4846,https://www.speedrun.com/titanfall_2/runs/y2q6j26y
2019-07-24,zxkdl1gm,bryonato,1h 20m 15s,4815,https://www.speedrun.com/titanfall_2/runs/zxkdl1gm
2019-08-07,zgkxepdy,bryonato,1h 20m 14s,4814,https://www.speedrun.com/titanfall_2/runs/zgkxepdy
2019-08-10,mk27owxm,bryonato,1h 19m 41s,4781,https://www.speedrun.com/titanfall_2/runs/mk27owxm
2020-03-13,z01gv6ey,CashMayo,1h 19m 24s,4764,https://www.speedrun.com/titanfall_2/runs/z01gv6ey
2020-05-27,yjl5v17z,bryonato,1h 19m 21s,4761,https://www.speedrun.com/titanfall_2/runs/yjl5v17z
2020-07-07,znke6gvz,bryonato,1h 19m 11s,4751,https://www.speedrun.com/titanfall_2/runs/znke6gvz
2020-07-21,y65ek91z,bryonato,1h 19m 07s,4747,https://www.speedrun.com/titanfall_2/runs/y65ek91z
2020-07-21,z5jlovgm,bryonato,1h 18m 28s,4708,https://www.speedrun.com/titanfall_2/runs/z5jlovgm
