Date,Id,Players,Time,Seconds,Link
2015-09-22,oy2x3vjm,jsbluethree,1h 29m 11s,5351,https://www.speedrun.com/undertale/runs/oy2x3vjm
2015-09-23,7ylq9q2z,Tuxwizzle,1h 22m 11s,4931,https://www.speedrun.com/undertale/runs/7ylq9q2z
2015-09-24,8y8dqxnz,Tuxwizzle,1h 21m 13s,4873,https://www.speedrun.com/undertale/runs/8y8dqxnz
2015-09-24,oy2x386m,jsbluethree,1h 16m 23s,4583,https://www.speedrun.com/undertale/runs/oy2x386m
2015-09-27,9me7xv0y,jsbluethree,1h 15m 14s,4514,https://www.speedrun.com/undertale/runs/9me7xv0y
2015-10-14,7z0rp0jz,Tuxwizzle,1h 10m 46s,4246,https://www.speedrun.com/undertale/runs/7z0rp0jz
2015-10-15,9yo7d3dm,Tuxwizzle,1h 09m 53s,4193,https://www.speedrun.com/undertale/runs/9yo7d3dm
2015-12-04,jy93l7ky,TGH,1h 07m 27s,4047,https://www.speedrun.com/undertale/runs/jy93l7ky
2015-12-05,oy270e7z,TGH,1h 07m 08s,4028,https://www.speedrun.com/undertale/runs/oy270e7z
2015-12-14,pm37kkdz,TGH,1h 06m 33s,3993,https://www.speedrun.com/undertale/runs/pm37kkdz
2015-12-28,7ylr2jny,TGH,1h 05m 31s,3931,https://www.speedrun.com/undertale/runs/7ylr2jny
2016-01-15,7z0ooeez,TGH,1h 04m 40s,3880,https://www.speedrun.com/undertale/runs/7z0ooeez
2016-02-26,0y60el1y,TGH,1h 02m 12s,3732,https://www.speedrun.com/undertale/runs/0y60el1y
2016-03-26,pm3x66gm,TGH,1h 01m 51s,3711,https://www.speedrun.com/undertale/runs/pm3x66gm
2016-04-03,pm3xkxdm,TGH,59m 27s 483ms,3567.483,https://www.speedrun.com/undertale/runs/pm3xkxdm
2016-04-04,pzgqlnvy,TGH,59m 09s 817ms,3549.817,https://www.speedrun.com/undertale/runs/pzgqlnvy
2016-04-11,1zq9568y,TGH,58m 34s 650ms,3514.65,https://www.speedrun.com/undertale/runs/1zq9568y
2016-06-29,7z0j214y,TGH,58m 10s 450ms,3490.45,https://www.speedrun.com/undertale/runs/7z0j214y
2016-07-05,emkql75m,TGH,57m 22s 467ms,3442.467,https://www.speedrun.com/undertale/runs/emkql75m
2016-10-01,pydl4p0z,TGH,57m 02s 100ms,3422.1,https://www.speedrun.com/undertale/runs/pydl4p0z
2016-11-04,emkoxx5z,TGH,56m 57s 467ms,3417.467,https://www.speedrun.com/undertale/runs/emkoxx5z
2017-01-31,emkn4g1m,xandertje10,56m 52s 683ms,3412.683,https://www.speedrun.com/undertale/runs/emkn4g1m
2017-02-01,1zqo368y,TGH,56m 32s 583ms,3392.583,https://www.speedrun.com/undertale/runs/1zqo368y
