Date,Id,Players,Time,Seconds,Link
2015-08-04,m7993ney,Canterlott,53m 17s,3197,https://www.speedrun.com/wf/runs/m7993ney
2015-10-19,mk44qp1y,HowDenKing,46m 55s,2815,https://www.speedrun.com/wf/runs/mk44qp1y
2015-11-08,ydqq2njm,HowDenKing,42m 31s,2551,https://www.speedrun.com/wf/runs/ydqq2njm
2017-03-09,mekk0w3m,Nusmag,31m 12s,1872,https://www.speedrun.com/wf/runs/mekk0w3m
2017-03-10,yw11ng0z,iTrust,31m 03s,1863,https://www.speedrun.com/wf/runs/yw11ng0z
2017-03-12,yvggvl6y,Nusmag,30m 52s,1852,https://www.speedrun.com/wf/runs/yvggvl6y
2017-07-12,yw1d89pz,holleufer98,30m 00s,1800,https://www.speedrun.com/wf/runs/yw1d89pz
2017-07-13,z0e9rnom,LithiumFrost,29m 42s,1782,https://www.speedrun.com/wf/runs/z0e9rnom
2017-07-14,y67rdeqm,holleufer98,28m 07s,1687,https://www.speedrun.com/wf/runs/y67rdeqm
2017-07-19,yo43opdm,LithiumFrost,27m 47s,1667,https://www.speedrun.com/wf/runs/yo43opdm
2017-07-22,z5o3w65y,Nusmag,27m 18s,1638,https://www.speedrun.com/wf/runs/z5o3w65y
2017-07-22,yvg97d8y,holleufer98,27m 02s,1622,https://www.speedrun.com/wf/runs/yvg97d8y
2017-07-22,yw1d582z,Nusmag,26m 41s,1601,https://www.speedrun.com/wf/runs/yw1d582z
2017-07-23,zq64nw9y,holleufer98,26m 38s,1598,https://www.speedrun.com/wf/runs/zq64nw9y
2017-11-15,zn8qe77z,holleufer98,26m 30s,1590,https://www.speedrun.com/wf/runs/zn8qe77z
2018-01-03,yjkwx2nm,holleufer98,25m 39s,1539,https://www.speedrun.com/wf/runs/yjkwx2nm
2018-05-15,y893n51m,zopney,24m 49s,1489,https://www.speedrun.com/wf/runs/y893n51m
2018-06-07,zn48wr3m,OverusedMemes,22m 49s,1369,https://www.speedrun.com/wf/runs/zn48wr3m
2018-07-13,y6pln4qm,OverusedMemes,22m 03s,1323,https://www.speedrun.com/wf/runs/y6pln4qm
2018-07-14,zg7kp9jz,Nusmag,21m 28s,1288,https://www.speedrun.com/wf/runs/zg7kp9jz
2019-08-10,yj31qxnz,zukerben,21m 06s,1266,https://www.speedrun.com/wf/runs/yj31qxnz
2019-09-13,mk2e3rvm,Salat,20m 42s,1242,https://www.speedrun.com/wf/runs/mk2e3rvm
2019-11-25,mk2p1n5m,Salat,19m 58s,1198,https://www.speedrun.com/wf/runs/mk2p1n5m
2024-04-01,ydne0xxm,Salat,18m 36s,1116,https://www.speedrun.com/wf/runs/ydne0xxm
