Date,Id,Players,Time,Seconds,Link
2014-12-10,7z0e528m,RSR,12m 35s,755,https://www.speedrun.com/wiisports/runs/7z0e528m
2015-02-02,2yw1ll0z,Plyd823,11m 16s,676,https://www.speedrun.com/wiisports/runs/2yw1ll0z
2015-02-05,emk9l15z,RSR,10m 05s,605,https://www.speedrun.com/wiisports/runs/emk9l15z
2015-07-19,0y6r2e6y,Nate9000,09m 26s,566,https://www.speedrun.com/wiisports/runs/0y6r2e6y
2017-08-07,yo49qd7m,MrJimmysteel25,09m 16s 090ms,556.09,https://www.speedrun.com/wiisports/runs/yo49qd7m
2017-08-10,m7984d5y,Nicro,09m 15s 960ms,555.96,https://www.speedrun.com/wiisports/runs/m7984d5y
2018-01-20,yw1gwg2z,Alaskaxp2,09m 04s 110ms,544.11,https://www.speedrun.com/wiisports/runs/yw1gwg2z
2018-07-21,zg7k44dz,Nicro,09m 01s 450ms,541.45,https://www.speedrun.com/wiisports/runs/zg7k44dz
2018-07-22,y6p57l6m,Alaskaxp2,08m 43s 270ms,523.27,https://www.speedrun.com/wiisports/runs/y6p57l6m
2018-08-15,yo2355dz,Alaskaxp2,08m 30s 170ms,510.17,https://www.speedrun.com/wiisports/runs/yo2355dz
2018-09-29,yj4xlngy,Alaskaxp2,08m 26s,506,https://www.speedrun.com/wiisports/runs/yj4xlngy
2018-11-15,zn4q9gvm,Alaskaxp2,08m 23s 460ms,503.46,https://www.speedrun.com/wiisports/runs/zn4q9gvm
2018-12-01,yvjpj76y,Alaskaxp2,08m 15s 370ms,495.37,https://www.speedrun.com/wiisports/runs/yvjpj76y
2018-12-15,yl46j43m,Alaskaxp2,08m 12s 740ms,492.74,https://www.speedrun.com/wiisports/runs/yl46j43m
2018-12-27,y92knpvz,Alaskaxp2,07m 54s 300ms,474.3,https://www.speedrun.com/wiisports/runs/y92knpvz
2020-05-04,y65r026z,Alaskaxp2,07m 46s 900ms,466.9,https://www.speedrun.com/wiisports/runs/y65r026z
2021-02-16,y2vp5o6z,LeoSC,07m 43s 100ms,463.1,https://www.speedrun.com/wiisports/runs/y2vp5o6z
2021-03-21,mr4dgk7z,Paul_inthe_Mall,07m 37s 300ms,457.3,https://www.speedrun.com/wiisports/runs/mr4dgk7z
2021-03-30,z1842e9y,ShockwaveTLS,07m 35s 933ms,455.933,https://www.speedrun.com/wiisports/runs/z1842e9y
2021-04-09,yo7vj3jm,LeoSC,07m 32s 300ms,452.3,https://www.speedrun.com/wiisports/runs/yo7vj3jm
2021-05-13,yo77ex7m,ShockwaveTLS,07m 30s 033ms,450.033,https://www.speedrun.com/wiisports/runs/yo77ex7m
2021-08-01,z5do4gdm,LeoSC,07m 30s,450,https://www.speedrun.com/wiisports/runs/z5do4gdm
2021-08-02,mrn8jv8y,ShockwaveTLS,07m 28s 833ms,448.833,https://www.speedrun.com/wiisports/runs/mrn8jv8y
2021-08-20,m775e75m,ShockwaveTLS,07m 21s 467ms,441.467,https://www.speedrun.com/wiisports/runs/m775e75m
2021-09-25,yo6l891y,ShockwaveTLS,07m 20s 933ms,440.933,https://www.speedrun.com/wiisports/runs/yo6l891y
2021-09-28,y692xnpy,ShockwaveTLS,07m 18s 633ms,438.633,https://www.speedrun.com/wiisports/runs/y692xnpy
2021-10-11,y2722ljz,ShockwaveTLS,07m 16s 067ms,436.067,https://www.speedrun.com/wiisports/runs/y2722ljz
2021-10-12,mk510w3m,ShockwaveTLS,07m 15s 433ms,435.433,https://www.speedrun.com/wiisports/runs/mk510w3m
2021-10-17,ywkxnj0y,ShockwaveTLS,07m 03s 967ms,423.967,https://www.speedrun.com/wiisports/runs/ywkxnj0y
2022-01-09,m7w7q74z,EmoadNomad,07m 02s 067ms,422.067,https://www.speedrun.com/wiisports/runs/m7w7q74z
2022-01-20,z5v2d0gm,ShockwaveTLS,07m 00s 700ms,420.7,https://www.speedrun.com/wiisports/runs/z5v2d0gm
2023-12-31,zxwxqvgm,RyMacG4,06m 53s 867ms,413.867,https://www.speedrun.com/wiisports/runs/zxwxqvgm
