Date,Id,Players,Time,Seconds,Link
2017-12-23,y67v4wqm,Alaskaxp2,35m 43s,2143,https://www.speedrun.com/wsr/runs/y67v4wqm
2018-02-24,zq6p96ry,Luvbaseball58,35m 20s,2120,https://www.speedrun.com/wsr/runs/zq6p96ry
2018-03-12,y678q2jm,Alaskaxp2,34m 23s,2063,https://www.speedrun.com/wsr/runs/y678q2jm
2018-03-19,yjk7n2om,Alaskaxp2,34m 13s,2053,https://www.speedrun.com/wsr/runs/yjk7n2om
2018-03-19,m7gjkl9m,GhostT,33m 51s,2031,https://www.speedrun.com/wsr/runs/m7gjkl9m
2018-03-21,m3d856wz,Alaskaxp2,33m 26s,2006,https://www.speedrun.com/wsr/runs/m3d856wz
2018-08-01,ywp8539z,Alaskaxp2,32m 59s,1979,https://www.speedrun.com/wsr/runs/ywp8539z
2018-10-11,y92vgkkz,Alaskaxp2,32m 43s,1963,https://www.speedrun.com/wsr/runs/y92vgkkz
2019-04-04,yvjk6k8y,Simrax98,32m 41s,1961,https://www.speedrun.com/wsr/runs/yvjk6k8y
2019-06-20,zxk4jggm,Cmdr,32m 36s,1956,https://www.speedrun.com/wsr/runs/zxk4jggm
2019-12-17,yw4g332z,bendersrus,32m 15s,1935,https://www.speedrun.com/wsr/runs/yw4g332z
2020-02-02,zqr5j11y,Alaskaxp2,32m 03s,1923,https://www.speedrun.com/wsr/runs/zqr5j11y
2020-04-15,zpr4qrgm,bendersrus,31m 56s,1916,https://www.speedrun.com/wsr/runs/zpr4qrgm
2020-06-10,y25pr06y,Alaskaxp2,31m 44s,1904,https://www.speedrun.com/wsr/runs/y25pr06y
2020-09-29,yj63dj7z,bendersrus,31m 37s,1897,https://www.speedrun.com/wsr/runs/yj63dj7z
2021-03-03,mk7q503y,bendersrus,31m 26s,1886,https://www.speedrun.com/wsr/runs/mk7q503y
2021-05-02,ywqdvk9y,Vncz,31m 21s,1881,https://www.speedrun.com/wsr/runs/ywqdvk9y
2021-08-17,y27ddd6z,Vncz,31m 12s,1872,https://www.speedrun.com/wsr/runs/y27ddd6z
2021-12-18,z5v7r45m,bendersrus,31m 10s,1870,https://www.speedrun.com/wsr/runs/z5v7r45m
2021-12-18,z0o1r4oz,bendersrus,31m 02s,1862,https://www.speedrun.com/wsr/runs/z0o1r4oz
2022-01-03,zgdxlpnz,bendersrus,30m 59s,1859,https://www.speedrun.com/wsr/runs/zgdxlpnz
2023-02-19,zpgwv0vz,Vncz,30m 53s,1853,https://www.speedrun.com/wsr/runs/zpgwv0vz
2023-02-20,y6o2wp6y,Benson,30m 46s,1846,https://www.speedrun.com/wsr/runs/y6o2wp6y
