Date,Id,Players,Time,Seconds,Link
2017-03-03,1zx1jvey,SethBling,2h 22m 47s,8567,https://www.speedrun.com/botw/runs/1zx1jvey
2017-03-04,0znn979z,Venick,1h 24m 07s,5047,https://www.speedrun.com/botw/runs/0znn979z
2017-03-07,wzpjegnz,Venick,1h 04m 13s,3853,https://www.speedrun.com/botw/runs/wzpjegnz
2017-03-09,0y61k00m,Orcastraw,1h 00m 50s,3650,https://www.speedrun.com/botw/runs/0y61k00m
2017-03-10,8m7r1vwy,Orcastraw,1h 00m 11s,3611,https://www.speedrun.com/botw/runs/8m7r1vwy
2017-03-10,8m7r9jwy,gymnast86,58m 01s,3481,https://www.speedrun.com/botw/runs/8m7r9jwy
2017-03-12,wzp707rz,Venick,54m 05s,3245,https://www.speedrun.com/botw/runs/wzp707rz
2017-03-14,pm3eg0dy,gymnast86,53m 13s,3193,https://www.speedrun.com/botw/runs/pm3eg0dy
2017-03-15,0y6kde6z,Venick,52m 37s,3157,https://www.speedrun.com/botw/runs/0y6kde6z
2017-03-16,8y85e81y,Orcastraw,52m 25s,3145,https://www.speedrun.com/botw/runs/8y85e81y
2017-03-16,pm3e6k4y,gymnast86,51m 40s,3100,https://www.speedrun.com/botw/runs/pm3e6k4y
2017-03-17,pzg4dqdz,Baltan,51m 30s,3090,https://www.speedrun.com/botw/runs/pzg4dqdz
2017-03-17,oy2l025m,Orcastraw,51m 18s,3078,https://www.speedrun.com/botw/runs/oy2l025m
2017-03-17,pydkwxxm,Venick,50m 17s,3017,https://www.speedrun.com/botw/runs/pydkwxxm
2017-03-18,nz1wpq9y,Venick,48m 35s,2915,https://www.speedrun.com/botw/runs/nz1wpq9y
2017-03-19,0zndj89m,sva,47m 59s,2879,https://www.speedrun.com/botw/runs/0zndj89m
2017-03-22,dy4p632y,Orcastraw,47m 09s,2829,https://www.speedrun.com/botw/runs/dy4p632y
2017-03-22,8y85pqdy,Baltan,46m 40s,2800,https://www.speedrun.com/botw/runs/8y85pqdy
2017-03-23,emkj19ly,Orcastraw,46m 39s,2799,https://www.speedrun.com/botw/runs/emkj19ly
2017-03-23,8y85p9xy,sva,45m 51s,2751,https://www.speedrun.com/botw/runs/8y85p9xy
2017-03-24,8yvwn4om,ChaoticAce,44m 25s,2665,https://www.speedrun.com/botw/runs/8yvwn4om
2017-03-29,8yvwwj6m,ChaoticAce,43m 33s,2613,https://www.speedrun.com/botw/runs/8yvwwj6m
2017-04-01,mekvxx9m,ChaoticAce,43m 26s,2606,https://www.speedrun.com/botw/runs/mekvxx9m
2017-04-02,yo4vjn5m,gymnast86,42m 24s,2544,https://www.speedrun.com/botw/runs/yo4vjn5m
2017-04-02,yl930w3y,ChaoticAce,42m 20s,2540,https://www.speedrun.com/botw/runs/yl930w3y
2017-04-03,yjkj643m,gymnast86,42m 17s,2537,https://www.speedrun.com/botw/runs/yjkj643m
2017-04-04,zxv966qy,gymnast86,40m 55s 400ms,2455.4,https://www.speedrun.com/botw/runs/zxv966qy
2017-04-13,z0ewdqem,ChaoticAce,40m 20s,2420,https://www.speedrun.com/botw/runs/z0ewdqem
2017-04-21,ydqq63wm,sva,39m 54s 500ms,2394.5,https://www.speedrun.com/botw/runs/ydqq63wm
2017-06-07,y67ld1jm,pui,39m 49s,2389,https://www.speedrun.com/botw/runs/y67ld1jm
2017-07-27,yo494wdm,Orcastraw,39m 35s,2375,https://www.speedrun.com/botw/runs/yo494wdm
2017-08-05,mek9g03m,Ikkitrix,38m 21s,2301,https://www.speedrun.com/botw/runs/mek9g03m
2018-05-18,ydqk43vm,LouLouCore,37m 43s 640ms,2263.64,https://www.speedrun.com/botw/runs/ydqk43vm
2018-06-26,ywpp8x2z,Wolhaiksong,36m 48s 640ms,2208.64,https://www.speedrun.com/botw/runs/ywpp8x2z
2018-09-12,zq31qk9y,Wolhaiksong,36m 40s,2200,https://www.speedrun.com/botw/runs/zq31qk9y
2018-09-21,y6p96oqm,Wolhaiksong,34m 41s 200ms,2081.2,https://www.speedrun.com/botw/runs/y6p96oqm
2018-10-05,y438eq2z,Wolhaiksong,33m 59s 440ms,2039.44,https://www.speedrun.com/botw/runs/y438eq2z
2018-10-25,z11pg27z,Wolhaiksong,33m 15s 190ms,1995.19,https://www.speedrun.com/botw/runs/z11pg27z
2018-11-02,y8987rwm,Wolhaiksong,32m 25s 100ms,1945.1,https://www.speedrun.com/botw/runs/y8987rwm
2018-11-14,yd31lejz,Wolhaiksong,31m 46s 810ms,1906.81,https://www.speedrun.com/botw/runs/yd31lejz
2018-11-17,z03lk89z,Wolhaiksong,31m 06s 890ms,1866.89,https://www.speedrun.com/botw/runs/z03lk89z
