Date,Id,Players,Time,Seconds,Link
2014-01-18,9yo29gjz,zfg,1h 37m 39s,5859,https://www.speedrun.com/mm/runs/9yo29gjz
2014-01-25,nz11rg7z,Goron,1h 32m 38s,5558,https://www.speedrun.com/mm/runs/nz11rg7z
2014-05-18,nz1180jz,sva,1h 30m 13s,5413,https://www.speedrun.com/mm/runs/nz1180jz
2014-11-12,6yj41e7y,TylersGaming,1h 29m 35s,5375,https://www.speedrun.com/mm/runs/6yj41e7y
2014-12-01,7z0368jz,EnNopp112,1h 27m 31s,5251,https://www.speedrun.com/mm/runs/7z0368jz
2015-05-19,pm3535wy,fullgrowngaming,1h 27m 03s,5223,https://www.speedrun.com/mm/runs/pm3535wy
2015-06-24,wzplnlvm,EnNopp112,1h 26m 07s,5167,https://www.speedrun.com/mm/runs/wzplnlvm
2016-03-03,nz1pejjz,EnNopp112,1h 25m 54s,5154,https://www.speedrun.com/mm/runs/nz1pejjz
2016-04-24,9yoljk1y,fullgrowngaming,1h 25m 37s,5137,https://www.speedrun.com/mm/runs/9yoljk1y
2016-10-29,nz1v96rz,fullgrowngaming,1h 25m 36s,5136,https://www.speedrun.com/mm/runs/nz1v96rz
2016-11-16,7z00689z,EnNopp112,1h 25m 12s,5112,https://www.speedrun.com/mm/runs/7z00689z
2016-12-06,oy28onjy,EnNopp112,1h 24m 43s,5083,https://www.speedrun.com/mm/runs/oy28onjy
2017-08-15,y45r3jnm,TrevPerson,1h 22m 57s,4977,https://www.speedrun.com/mm/runs/y45r3jnm
2017-08-15,z5or79ny,EnNopp112,1h 21m 48s,4908,https://www.speedrun.com/mm/runs/z5or79ny
2017-08-17,zq61wj9y,EnNopp112,1h 21m 36s,4896,https://www.speedrun.com/mm/runs/zq61wj9y
2017-08-23,zq61o08y,EnNopp112,1h 21m 22s,4882,https://www.speedrun.com/mm/runs/zq61o08y
2017-09-19,y8qel3wy,EnNopp112,1h 20m 15s,4815,https://www.speedrun.com/mm/runs/y8qel3wy
2017-09-24,zgndn1dy,EnNopp112,1h 19m 55s,4795,https://www.speedrun.com/mm/runs/zgndn1dy
2017-09-26,m3d652wz,EnNopp112,1h 19m 50s,4790,https://www.speedrun.com/mm/runs/m3d652wz
2017-11-01,yl97wdry,EnNopp112,1h 19m 39s,4779,https://www.speedrun.com/mm/runs/yl97wdry
2017-11-05,yl91013y,thesausage,1h 19m 17s,4757,https://www.speedrun.com/mm/runs/yl91013y
2017-11-29,z0enp59m,EnNopp112,1h 18m 46s,4726,https://www.speedrun.com/mm/runs/z0enp59m
2017-12-08,zxv39kgy,EnNopp112,1h 18m 44s,4724,https://www.speedrun.com/mm/runs/zxv39kgy
2017-12-11,z0eje09m,EnNopp112,1h 18m 18s,4698,https://www.speedrun.com/mm/runs/z0eje09m
2017-12-28,y67q73qm,EnNopp112,1h 18m 14s,4694,https://www.speedrun.com/mm/runs/y67q73qm
2018-01-09,mrq2ge7y,EnNopp112,1h 17m 53s,4673,https://www.speedrun.com/mm/runs/mrq2ge7y
2018-02-13,zxvjnjqy,EnNopp112,1h 17m 28s,4648,https://www.speedrun.com/mm/runs/zxvjnjqy
2018-02-15,zgnjjkdy,EnNopp112,1h 17m 15s,4635,https://www.speedrun.com/mm/runs/zgnjjkdy
2018-03-10,zq65v8xy,EnNopp112,1h 16m 50s,4610,https://www.speedrun.com/mm/runs/zq65v8xy
2018-05-25,m3o9gldm,EnNopp112,1h 16m 36s,4596,https://www.speedrun.com/mm/runs/m3o9gldm
2018-05-30,me8v048m,EnNopp112,1h 16m 33s,4593,https://www.speedrun.com/mm/runs/me8v048m
2018-06-24,m3oo154m,EnNopp112,1h 16m 14s,4574,https://www.speedrun.com/mm/runs/m3oo154m
2018-07-02,ywpp21nz,EnNopp112,1h 16m 12s,4572,https://www.speedrun.com/mm/runs/ywpp21nz
2018-07-25,z035714z,EnNopp112,1h 15m 59s,4559,https://www.speedrun.com/mm/runs/z035714z
2019-04-12,m7pkq6em,EnNopp112,1h 15m 52s,4552,https://www.speedrun.com/mm/runs/m7pkq6em
2019-04-24,zg75er0z,EnNopp112,1h 15m 29s,4529,https://www.speedrun.com/mm/runs/zg75er0z
2022-02-03,z12llq9y,popesquidward,1h 15m 26s,4526,https://www.speedrun.com/mm/runs/z12llq9y
2023-09-23,yoo2581y,EnNopp112,1h 14m 54s,4494,https://www.speedrun.com/mm/runs/yoo2581y
2023-10-07,y9k0q4nz,TheHumanProtractor,1h 14m 46s 970ms,4486.97,https://www.speedrun.com/mm/runs/y9k0q4nz
2023-11-02,mkq50pvm,EnNopp112,1h 14m 11s,4451,https://www.speedrun.com/mm/runs/mkq50pvm
2023-12-03,y6qoj4pz,TheHumanProtractor,1h 13m 52s,4432,https://www.speedrun.com/mm/runs/y6qoj4pz
2024-04-15,z582n8dz,popesquidward,1h 13m 46s,4426,https://www.speedrun.com/mm/runs/z582n8dz
2024-04-28,y46g0r2z,thesausage,1h 13m 40s,4420,https://www.speedrun.com/mm/runs/y46g0r2z
2024-05-08,zq8djg8z,thesausage,1h 13m 36s,4416,https://www.speedrun.com/mm/runs/zq8djg8z
2024-05-18,y6ve9l1m,thesausage,1h 13m 34s,4414,https://www.speedrun.com/mm/runs/y6ve9l1m
2024-06-04,ywg5462z,thesausage,1h 13m 25s,4405,https://www.speedrun.com/mm/runs/ywg5462z
2024-06-07,yo0569dy,thesausage,1h 13m 15s,4395,https://www.speedrun.com/mm/runs/yo0569dy
2024-06-11,y46vee3z,thesausage,1h 12m 53s,4373,https://www.speedrun.com/mm/runs/y46vee3z
