Date,Id,Players,Time,Seconds,Link
2020-01-15,zp4kxwvz,Lozoots,13m 48s 234ms,828.234,https://www.speedrun.com/oot/runs/zp4kxwvz
2020-01-15,zgkjjnvy,Lozoots,13m 11s 516ms,791.516,https://www.speedrun.com/oot/runs/zgkjjnvy
2020-01-15,yv3nn88z,Lozoots,12m 59s 583ms,779.583,https://www.speedrun.com/oot/runs/yv3nn88z
2020-01-16,yv3n596z,Lozoots,12m 32s 183ms,752.183,https://www.speedrun.com/oot/runs/yv3n596z
2020-01-18,y41jp8dy,mrenomega,10m 36s,636,https://www.speedrun.com/oot/runs/y41jp8dy
2020-01-29,zxk5vjem,baker,09m 24s,564,https://www.speedrun.com/oot/runs/zxk5vjem
2020-01-31,y6l8rrqy,Xenia64,08m 22s,502,https://www.speedrun.com/oot/runs/y6l8rrqy
2020-02-01,znr53v8y,Fig02,07m 38s,458,https://www.speedrun.com/oot/runs/znr53v8y
2020-02-01,m7qvd44z,zfg,07m 33s,453,https://www.speedrun.com/oot/runs/m7qvd44z
2020-02-02,y21r75jz,Lozoots,07m 01s,421,https://www.speedrun.com/oot/runs/y21r75jz
2020-02-16,y6l41x6y,Narcissa,05m 16s,316,https://www.speedrun.com/oot/runs/y6l41x6y
2020-02-27,zgk08q0y,Zudu,04m 52s,292,https://www.speedrun.com/oot/runs/zgk08q0y
2020-03-27,z5j5pjjm,Amateseru,04m 48s,288,https://www.speedrun.com/oot/runs/z5j5pjjm
2020-04-07,zx24voem,dannyb,04m 39s,279,https://www.speedrun.com/oot/runs/zx24voem
2020-09-03,y904qe2y,zfg,04m 34s,274,https://www.speedrun.com/oot/runs/y904qe2y
2020-09-09,zplnoorm,LiterallyLake,04m 33s,273,https://www.speedrun.com/oot/runs/zplnoorm
2020-09-21,z531vvgy,dannyb,04m 19s 459ms,259.459,https://www.speedrun.com/oot/runs/z531vvgy
2020-12-04,y2d29w9z,Amateseru,04m 15s 783ms,255.783,https://www.speedrun.com/oot/runs/y2d29w9z
2021-08-07,ylr03xxy,NEVERDOORS,04m 15s,255,https://www.speedrun.com/oot/runs/ylr03xxy
2021-09-06,zn07x49y,dannyb,03m 58s 850ms,238.85,https://www.speedrun.com/oot/runs/zn07x49y
2021-10-05,y47k602y,Amateseru,03m 57s 233ms,237.233,https://www.speedrun.com/oot/runs/y47k602y
2021-10-12,y272ng9z,PaintSkate8,03m 56s 683ms,236.683,https://www.speedrun.com/oot/runs/y272ng9z
2022-07-23,ydd7gqjy,Murph_E,03m 55s 466ms,235.466,https://www.speedrun.com/oot/runs/ydd7gqjy
2022-10-15,y9xpe52y,dannyb,03m 55s 300ms,235.3,https://www.speedrun.com/oot/runs/y9xpe52y
2022-10-22,y2e8n87y,Murph_E,03m 54s 566ms,234.566,https://www.speedrun.com/oot/runs/y2e8n87y
2023-04-08,zg209jey,Murph_E,03m 51s 770ms,231.77,https://www.speedrun.com/oot/runs/zg209jey
2023-05-11,z1l1627m,Murph_E,03m 50s 950ms,230.95,https://www.speedrun.com/oot/runs/z1l1627m
2024-06-22,y8w73l1y,CountLG,03m 49s 466ms,229.466,https://www.speedrun.com/oot/runs/y8w73l1y
2024-06-27,yjo0277z,CountLG,03m 48s 683ms,228.683,https://www.speedrun.com/oot/runs/yjo0277z
2024-07-13,yox4r2dy,CountLG,03m 47s 900ms,227.9,https://www.speedrun.com/oot/runs/yox4r2dy
