Date,Id,Players,Time,Seconds,Link
2023-06-01,ywrd91pm,SlyZorua,58m 02s,3482,https://www.speedrun.com/totk/runs/ywrd91pm
2023-06-01,z5p010gm,Player5,58m 00s,3480,https://www.speedrun.com/totk/runs/z5p010gm
2023-06-02,znv3ndlm,SlyZorua,57m 54s,3474,https://www.speedrun.com/totk/runs/znv3ndlm
2023-06-02,yl6ov8xy,Player5,57m 12s,3432,https://www.speedrun.com/totk/runs/yl6ov8xy
2023-06-03,z0j6reoy,Qentiko,56m 28s,3388,https://www.speedrun.com/totk/runs/z0j6reoy
2023-06-04,ywr0np3m,Player5,56m 04s,3364,https://www.speedrun.com/totk/runs/ywr0np3m
2023-06-05,ywr0w43m,Qentiko,55m 52s,3352,https://www.speedrun.com/totk/runs/ywr0w43m
2023-06-06,zpw3pgny,Zdi,55m 23s,3323,https://www.speedrun.com/totk/runs/zpw3pgny
2023-06-07,ywr0779m,Zdi,54m 57s,3297,https://www.speedrun.com/totk/runs/ywr0779m
2023-06-07,zqjgx21m,gymnast86,53m 55s,3235,https://www.speedrun.com/totk/runs/zqjgx21m
2023-06-08,zqj1469m,Player5,53m 39s,3219,https://www.speedrun.com/totk/runs/zqj1469m
2023-06-09,yvp19r4y,SlyZorua,53m 36s,3216,https://www.speedrun.com/totk/runs/yvp19r4y
2023-06-11,y86dg11m,gymnast86,52m 21s,3141,https://www.speedrun.com/totk/runs/y86dg11m
2023-06-12,y989ek2z,Player5,52m 03s,3123,https://www.speedrun.com/totk/runs/y989ek2z
2023-06-15,z0j7pp8y,Player5,51m 03s,3063,https://www.speedrun.com/totk/runs/z0j7pp8y
2023-06-18,yj250k3m,gymnast86,50m 30s,3030,https://www.speedrun.com/totk/runs/yj250k3m
2023-06-18,ywrklw2m,Player5,49m 42s,2982,https://www.speedrun.com/totk/runs/ywrklw2m
2023-06-22,y86jo3dm,Player5,49m 30s,2970,https://www.speedrun.com/totk/runs/y86jo3dm
2023-06-23,yon5r3dz,Player5,49m 22s,2962,https://www.speedrun.com/totk/runs/yon5r3dz
2023-06-23,yonrgg7z,Player5,48m 59s,2939,https://www.speedrun.com/totk/runs/yonrgg7z
2023-06-24,m3q39eqy,gymnast86,48m 31s,2911,https://www.speedrun.com/totk/runs/m3q39eqy
2023-06-24,yonp2j7z,Player5,48m 20s,2900,https://www.speedrun.com/totk/runs/yonp2j7z
2023-06-26,znvp778m,gymnast86,47m 42s,2862,https://www.speedrun.com/totk/runs/znvp778m
2023-06-30,zgeqv50y,Player5,47m 13s,2833,https://www.speedrun.com/totk/runs/zgeqv50y
2023-07-01,m3qx6o6y,gymnast86,46m 40s,2800,https://www.speedrun.com/totk/runs/m3qx6o6y
2023-07-03,m70xneey,Player5,46m 25s,2785,https://www.speedrun.com/totk/runs/m70xneey
2023-07-05,mk0v55vz,Player5,46m 17s,2777,https://www.speedrun.com/totk/runs/mk0v55vz
2023-07-07,y62oxlqz,Player5,46m 09s,2769,https://www.speedrun.com/totk/runs/y62oxlqz
2023-07-08,m3ql494y,Player5,45m 52s,2752,https://www.speedrun.com/totk/runs/m3ql494y
2023-07-10,yonnkd0z,gymnast86,45m 28s,2728,https://www.speedrun.com/totk/runs/yonnkd0z
2023-07-12,z1llkk9m,gymnast86,44m 48s,2688,https://www.speedrun.com/totk/runs/z1llkk9m
2023-07-15,y2gkq05z,Player5,44m 43s,2683,https://www.speedrun.com/totk/runs/y2gkq05z
2023-07-16,y62qxj6z,Player5,44m 33s,2673,https://www.speedrun.com/totk/runs/y62qxj6z
2023-07-31,y2gng1wz,gymnast86,44m 32s,2672,https://www.speedrun.com/totk/runs/y2gng1wz
2023-08-03,m3qv5ewy,Player5,44m 15s,2655,https://www.speedrun.com/totk/runs/m3qv5ewy
2023-08-05,z1l7259m,Player5,44m 13s,2653,https://www.speedrun.com/totk/runs/z1l7259m
